"","vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","target_stake_self","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","score","eligible_algo_stake","rank","in_algo_stake_set","eligible_mnde_stake","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"2","HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",950715.501362987,1003069.79691874,0.00262382506317413,0.0898843805451951,0.0898843805451951,0,370555.9,"AS-WAVE-1",0,0,0.986817211595669,0.876862439939913,0.997488753362147,0.98656803051944,TRUE,1,TRUE,TRUE,0,0,27667,27667
"1","Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4",2488280.70772771,2588460.34749511,0.0261174028947852,0.0330580821470307,0.0330580821470307,0,371488.8,"LATITUDE-SH",8.5075e+12,0,0.868779286826351,0.954711913781233,1,0.97632849903338,TRUE,2,TRUE,TRUE,0.000383484783090508,360,27380,27740
"4","DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5",247795.441090754,252648.330140904,0.0261174028947852,0.0860948314348104,0.0860948314348104,0,370060,"LATITUDE-SH",6501528140136,0,0.868779286826351,0.882053951839425,0.996153854436527,0.967780851527492,TRUE,3,TRUE,TRUE,0.000293081526240274,275,27140,27415
"9","7ztvwhHQxU68beHN88iK2h7KMZb3zdHcESWpNHJhQwsc",43085.151411848,45643.1790854299,0.000402763294570751,0.143830532212885,0.0760186055769855,0,355011,"TIER-NET",0,0,0.997976411093911,0.895857928227992,0.955643884822369,0.957557661433808,TRUE,4,TRUE,TRUE,0,0,26853,26853
"13","5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T",130546.521096462,190379.134361926,0.00113667824888205,0.0382503955753499,0.0382503955753499,0,349959.8,"Web Werks India Pvt. Ltd.",0,0,0.994289029002303,0.947598677835762,0.942046705041982,0.950511060481553,TRUE,5,TRUE,TRUE,0,0,26656,26656
"8","voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd",432466.641576402,444446.111948582,0.0149050986455994,0.112636114504194,0.112636114504194,0,357917.6,"RELIABLESITE",1e+12,0,0.925112857427732,0.845693587355578,0.963468077637872,0.948507698353059,TRUE,6,TRUE,TRUE,4.50690723300286e-05,42,26599,26641
"19","DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx",312825.800958754,324617.431395329,0.000849472828001383,0.0505843630034068,0.0505843630034068,0,349357.5,"COGENT-174",48806897898122,0,0.99573202470548,0.930701697006174,0.94042539102121,0.948186127433018,TRUE,7,TRUE,TRUE,0.00219996723213329,2066,26590,28656
"16","juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx",628520.208520311,653421.015049367,0.00237246317512377,0.0501071858361234,0.0501071858361234,0,349739.9,"Latitude.sh LTDA",771753362570855,0,0.988080119946378,0.931355408271015,0.941454762566193,0.947851021063516,TRUE,8,TRUE,TRUE,0.0347869280071941,32664,26581,59245
"10","7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD",40476.687398383,41411.5024200074,0.00010838249043731,0.884469280719281,0.0940435579939419,0,350820.5,"ZEN-ECN",0,0,0.999455457813014,0.871164553835685,0.944363598579553,0.947208573481327,TRUE,9,TRUE,TRUE,0,0,26563,26563
"22","6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ",418138.682433398,433853.025517753,0.00113498942074482,0.0451217376327748,0.0451217376327748,0,348459.1,"ALLNODES",0,0,0.994297514119812,0.938185248159133,0.938007013939586,0.94668080121497,TRUE,10,TRUE,TRUE,0,0,26548,26548
"18","bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8",68562.081633288,74923.4198559461,0.00577426937743229,0.0446254786393286,0.0401523267904257,0,349586.7,"RADIOKOMUNIKACE a.s.",0,0,0.970988549327977,0.944993117583736,0.941042367899113,0.945953376556217,TRUE,11,TRUE,TRUE,0,0,26528,26528
"28","6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",41316.304521562,47710.456708544,0.00012464481733597,0.0625148809523809,0.0484560896170639,0,346836.3,"MWAY",25152661503971,0,0.999373751598116,0.933617335856278,0.933638645364275,0.943750099438097,TRUE,12,TRUE,TRUE,0.00113378542031417,1065,26466,27531
"27","8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN",139762.343789272,142071.541899874,0.00288286082089772,0.0461886390308892,0.0422128963993315,0,347407,"OOO NIIR-RadioNet",0,0,0.985515747701924,0.942170229864695,0.935174896255284,0.94345774521703,TRUE,13,TRUE,TRUE,0,0,26458,26458
"11","BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2",4239770.00839508,4250000.22931138,0.0112659063346274,0.0536641027051099,0.0536641027051099,5,350628.565,"HURRICANE",0,0,0.943397118399069,0.926482592082853,0.943846934281733,0.942442013207563,TRUE,14,TRUE,TRUE,0,0,26429,26429
"29","GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr",211009.899418845,212888.730896997,0.00222801565809136,0.0499969612203881,0.0499969612203881,1,346674.438,"Amarutu Technology Ltd",0,0,0.988805862328862,0.93150641103877,0.933202933708903,0.94162672867581,TRUE,15,TRUE,TRUE,0,0,26406,26406
"25","MELNFCV6Rfn1mPLhpAK7gjYzDUhvLdKyMW4mFbfoL9F",65945.500797932,66718.300859844,0.0023958231499068,0.148191852458687,0.0851196146542662,0,347780.1,"ORACLE-BMC-31898",0,0,0.987962753278524,0.883389954982101,0.936179233398154,0.940085215040053,TRUE,16,TRUE,TRUE,0,0,26363,26363
"30","LodezVTbz3v5GK6oULfWNFfcs7D4rtMZQkmRjnh65gq",96590.77408083,104926.318680755,0.000403884467013033,0.0922284260282363,0.0804185121521642,0,346115.8,"STACKPATH",35293595309016,0,0.997970778028171,0.889830254043962,0.931699152168248,0.93867410244483,TRUE,17,TRUE,TRUE,0.00159087197520247,1494,26324,27818
"36","DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao",205820.342952512,236306.016527239,0.00083981871093,0.038487566305552,0.038487566305552,0,344070.3,"23M GmbH",0,0,0.995780529533172,0.947273764598805,0.926192929638794,0.938520316927161,TRUE,18,TRUE,TRUE,0,0,26319,26319
"34","CEUNARH523wjP3WWMapXFgUyYrKEgu9cm9sYLF9rNJpB",35005.168225101,36358.2812162964,9.51751283335568e-05,0.113492063492063,0.0634423328543879,1,344479.806,"Syn hf",0,0,0.999521815079905,0.913086856416826,0.92729526704439,0.93731408900158,TRUE,19,TRUE,TRUE,0,0,26286,26286
"31","CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc",118657.595886082,127763.478684001,0.00864301283368958,0.0547833245627363,0.0473029083406594,0,345563.3,"Inetcom LLC",0,0,0.95657522638929,0.93519714235683,0.930211893332989,0.934651271420407,TRUE,20,TRUE,TRUE,0,0,26211,26211
