vote_account,max_commission,marinade_stake,version,score_credits,score_block_production,score_inflation_commission,score_mev_commission,score_country_concentration,score_city_concentration,score_aso_concentration,score_node_concentration,score,ui_hints,blacklisted,eligible_stake_algo,eligible_stake_msol,eligible_stake_vemnde,eligible_bonus,in_algo_stake_set,msol_votes,vemnde_votes,rank,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
"tri1cHBy47fPyhCvrCf6FnR7Mz6XdSoSBah2FsZVQeT","0","726","1.17.22","1","0.9971974031624405","1","0.9","0.9933226455160328","0.9934230594645754","0.9927702464134036","1","0.9969345958352132","","false","true","true","true","true","true","0.934451191","400000","1","5","0","721","726"
"yrfQfUfsZechz1zqQyTRRz43czTZQidcrm4SNVWiDPi","0","78955","1.17.22","0.9989643503406187","1","1","0.93","0.9929326899110835","0.9951051285903973","0.9983278934537975","0.9670940090942892","0.9959682858388166","","false","true","true","true","true","true","271.901984906","0","2","2","39","78914","78955"
"2qsJLygBZ2XoYkRtkngH4fH4CtFmzfnjARbtMSWkZAQs","0","74746","1.17.25","1","1","0.98","0.92","0.9939799896378271","0.998866867234183","0.9950634178506166","0.9959253327215551","0.9950083521878638","","false","true","true","true","true","true","0","0","3","2","1","74743","74746"
"8F4e1nbeC6hn9jkojtboERZGaafxUUtsqUy3MKJLohkh","0","74287","1.17.22","1","1","1","0.92","0.992189402701919","0.9923187907165985","0.9924779174362273","0.9628189949364215","0.9948928011990771","","false","true","true","true","true","true","0","0","4","2","1","74284","74287"
"GuxBSrv5jnSwwPepkqnmkM7YCBSakKanbnw4BKMdda4j","0","73886","1.17.25","0.9936299059993432","1","1","0.92","0.9978934697593486","0.9983969804391519","0.9993591485815134","0.9643102519507462","0.9947782593244237","","false","true","true","true","true","true","333.190226201","282.327264241","5","2","48","73836","73886"
"P4f3F3VfMhKvpGQXg2MuvLfWmZui41gvcH9XKtYDiFX","0","72332","1.17.24","0.9975010650608861","1","1","0.92","0.9982953013953941","0.9982953013953941","0.9958529620924961","0.9454594405092","0.9943745124830393","","false","true","true","true","true","true","25.552778328","1.722849011","6","2","5","72325","72332"
"CrLn7zEBytbmRBUGhkDyyUbGCa6H7bMCnw94Dip8QbcJ","0","71955","1.17.25","1","1","1","0.95","0.969058038971025","0.9992058636930617","0.9991602030109809","0.9496522304810259","0.994263675549265","","false","true","true","true","true","true","169.758989066","0","7","2","25","71928","71955"
"H7CfFGvmUHWvryBKAaVibVxz85SYmWyoECx3CjLHq3zC","0","71926","1.17.22","0.9975267722146672","1","1","0.92","0.969058038971025","0.9813180074724693","0.9949940963683956","1","0.9942614905799908","","false","true","true","true","true","true","24.035270082","0","8","2","4","71920","71926"
"NipDoZC37aMQvv2fFq2moUyyiApQxszc7X4mvWHP2pZ","0","71446","1.17.22","1","1","1","0.92","0.9904963980266289","0.9904963980266289","0.9937208308161742","0.952872888051972","0.9941259061129608","","false","true","true","true","true","true","0","0","9","2","1","71443","71446"
"8vT4MgBeZQmYN44DXwHd2BLM7Z6io186nJk3FQEwy58f","0","44071","1.17.22","0.9989722064531745","1","1","0.92","0.969058038971025","0.9813180074724693","0.9905352302973873","0.9975060492532029","0.9939915220834569","","false","true","true","true","true","true","5.487792348999999","0","10","1","1","44069","44071"
"EKUh585fWD7LeDRHgmYd9EXpQnY6KNbNAhyBi3FuVw6Y","2","70674","1.17.24","1","1","0.97","0.92","0.9929326899110835","0.9951051285903973","0.9997712193711132","1","0.9938955046154133","","false","true","true","true","true","true","85.827317708","0","11","2","13","70659","70674"
"5HScvYkTWL9iojhPv26xK7GqB7oBsj9A2qHCeNRFmdyG","0","70658","1.17.22","1","1","0.97","0.92","0.9929326899110835","0.9951051285903973","0.999758981418742","1","0.9938939255247847","","false","true","true","true","true","true","0.000015932","0","12","2","1","70655","70658"
"8inoRcYLtHdDL1qHWvGph7pkJKuJdrE2kNkFpjcYaYHf","0","70249","1.17.22","1","1","0.97","0.93","0.9929326899110835","0.9951051285903973","0.9983278934537975","1","0.9937705915938241","","false","true","true","true","true","true","0","0","13","2","1","70246","70249"
"G8GqFzoEZrxHqV279nYxD5PX1vWWHvxWHkBDkXU2qMy6","0","70064","1.17.25","1","1","0.97","0.92","0.9929326899110835","0.9951051285903973","0.9983278934537975","1","0.9937092690131791","","false","true","true","true","true","true","35.586550021","6500","14","11","6","70047","70064"
"9w3YAf77BSGLQXahTpwAe9U9mNdCXkqmxH17uCyN1wyH","0","69862","1.17.22","0.9991703253006173","1","1","0.92","0.969058038971025","0.9973958153996291","0.9991685924112716","0.9498594676554403","0.9936513574871961","","false","true","true","true","true","true","0.522459831","0","15","1","1","69860","69862"
"FahWJg2PkphJaMUUCzdYhXkD5NngUuuFRFD3YCE3BSwb","0","69441","1.17.24","1","1","1","0.9","0.992189402701919","0.9923187907165985","0.9924779174362273","0.9434198139959279","0.9935185959771097","","false","true","true","true","true","true","0.945450146","0","16","1","1","69439","69441"
"BSRRvjdKd8SHApi3KtTGbzrdhUojitiwAt4xt4nAxbFh","0","68924","1.17.24","1","1","1","0.92","0.9628666167159612","0.9955772730753208","0.9992075709981496","0.94981546848132","0.9933457507617136","","false","true","true","true","true","true","117.506041884","0","17","1","18","68905","68924"
"B1w6SZcyvjyp6zEyStcc8u9AxXAh2AbYvNzMmP9rRKE9","0","67788","1.17.22","0.997691511721269","1","1","0.92","0.992189402701919","0.9923187907165985","0.9924779174362273","0.9440256550458936","0.9929356540194523","","false","true","true","true","true","true","236.40065526299998","36506.900745491","18","56","34","67698","67788"
