vote_account,max_commission,marinade_stake,version,score_credits,score_block_production,score_inflation_commission,score_mev_commission,score_country_concentration,score_city_concentration,score_aso_concentration,score_node_concentration,score,ui_hints,blacklisted,eligible_stake_algo,eligible_bonus,in_algo_stake_set,msol_votes,vemnde_votes,rank,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
"2Gife8andd4BkEbT5CncpriPxmQYqbspDh8cXkN6RUSH","0","34040.165065262","1.17.33","0.9986915512253886","1","1","1","0.9727215566352024","0.9993979767577017","0.9993979767577017","1","0.9976820794460709","","0","1","1","1","0","0","1","0","0","51582","51582"
"WiFKWdvXypmu9nk4RwuMDh28YbVAp66TigPHUxH5iYY","0","6364.157121044","1.17.33","0.9954611272154311","1","1","0.96","0.9970218541883921","0.9985186801767721","0.997842580004674","1","0.9973706239058099","","0","1","1","1","0","0","2","0","0","10838","10838"
"D8aGMETy3q6ymADJs7YS81QY2qTQmptVox3iCfGDgSTA","0","14563.541941701","1.17.33","0.9965322517518681","1","1","1","0.9727215566352024","0.9993979767577017","0.9993979767577017","1","0.9969855312288063","","0","1","1","1","8.677250823","3.845768911","3","0","33","49205","49238"
"21wUViiyG1g47VZ39ZZsSkFX9nu6bkyfy6jryHGD2TUB","0","29122.116041617","1.17.33","0.9974682775023441","1","1","0.99","0.9727215566352024","0.9962389950850792","0.9997609964249936","1","0.9968907696531953","","0","1","1","1","0","0","4","0","0","48901","48901"
"EKUh585fWD7LeDRHgmYd9EXpQnY6KNbNAhyBi3FuVw6Y","0","36341.043139354","1.17.33","0.999405900492787","1","1","0.92","0.9938580211835185","0.9953423517479255","0.9995512140417363","0.9831088359299283","0.9967109880827576","","0","1","1","1","86.354439695","33.288528913","5","1","326","48338","48665"
"CHiNU8QWVW77kGS3U9MbYLCYkWXGTfPz2iRGoy6r6CA","0","23012.054033878","1.17.33","0.9920015113491781","1","1","0.96","0.9992119783939643","0.9995183689966662","0.997842580004674","1","0.9964926612028517","","0","1","1","1","4.024528242000001","1.522786975","6","0","5","15256","15261"
"5iJDEVRi1nMLwKAWhYbEokZnvBAe15rgFaHGkggVEP9z","0","55073.726710679","1.17.33","0.9995276010750405","1","1","1","0.9984511509459583","0.9984511509459583","0.9984511509459583","0.9497086479913698","0.9961533440402185","","0","1","1","1","30.027987287","9705.244713346998","7","571","114","46688","47373"
"GiXx1mwSR44Tz96CaDqoadzAhZgZv7e3yZshqUwiEwwh","0","6021.798506947","1.17.33","0.9989423575459224","1","1","0.92","0.9727215566352024","0.9962389950850792","0.9971456567017243","1","0.9960639451868311","","0","1","1","1","0","0","8","0","0","46437","46437"
"8inoRcYLtHdDL1qHWvGph7pkJKuJdrE2kNkFpjcYaYHf","0","29188.607065195","1.17.33","0.9964279450260625","1","1","0.99","0.9938580211835185","0.9953423517479255","0.9987556479154206","0.9734569404045259","0.9959898716239411","","0","1","1","1","0.721535022","0","9","0","3","46232","46235"
"DGGJ4j2EPZdnDP3HugibBE57pzNd7kERFaWyJnsN4ho5","0","82.254910432","1.17.33","0.997736657927277","1","1","1","0.986150608643517","0.986150608643517","0.9911679827355145","1","0.9958965017236261","","0","1","1","1","103.337895714","0","10","0","98","11572","11670"
