"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","target_stake_msol","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","score","eligible_stake_algo","eligible_stake_msol","ui_hints","rank","in_algo_stake_set","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",951945.826631323,1013638.83425526,0.00264072092418104,0.0819319287311361,0.0819319287311361,0,374446.9,"AS-WAVE-1",0,0,0.986772244538313,0.88106082242502,0.996532002661344,0.98614810293193,1,1,"",1,1,1,0,0,27575,27575
"Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4",2529267.46722123,2617640.79862645,0.0266392516012659,0.0312747733321948,0.0312747733321948,0,375398.6,"LATITUDE-SH",8507500000000,0,0.866560111431239,0.954598947240924,0.999064803725881,0.97525901595094,1,1,"",2,1,1,0.000383426904718961,360,27270,27630
"DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5",248615.866233447,254096.174501079,0.0266392516012659,0.0795912082464046,0.0795912082464046,0,374759.5,"LATITUDE-SH",6501528140136,0,0.866560111431239,0.884458806259875,0.997363938789088,0.968555262847172,1,1,"",3,1,1,0.000292996343576619,275,27083,27358
"7ztvwhHQxU68beHN88iK2h7KMZb3zdHcESWpNHJhQwsc",43085.151411848,46377.8537988646,0.000390441041274116,0.160497198879552,0.069899027064189,0,359420.7,"TIER-NET",0,0,0.998044223996224,0.898528779670403,0.956542115768463,0.958464491180576,1,1,"",4,1,1,0,0,26800,26800
"5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T",130546.521096462,181215.974951008,0.00110434587695902,0.0359451491524565,0.0359451491524565,0,355416.4,"Web Werks India Pvt. Ltd.",0,0,0.994468170766637,0.947819042658781,0.945885296074518,0.953508334225941,1,1,"",5,1,1,0,0,26662,26662
"5yHqB3NxovCEMUniQCboaPRMyyQ7kQQF4QqvC4vaz78z",73283.430385148,94742.8776297218,0.000390441041274116,0.0243377142589804,0.0218408247580855,0,354090.6,"TIER-NET",2704427055171,0,0.998044223996224,0.96829404879738,0.942356886227545,0.952919335312714,1,1,"",6,1,1,0.000121844328809232,114,26645,26759
"voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd",433901.409517634,446140.320954311,0.0139249398313301,0.0999983544821529,0.0999983544821529,0,362586.2,"RELIABLESITE",1000000000000,0,0.930247949633424,0.854834101611492,0.964966600133067,0.951153538631463,1,1,"",7,1,1,0.0000450661645854107,42,26596,26638
"DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx",312825.800958754,326245.493325047,0.00085025229451479,0.0515306116036308,0.0515306116036308,0,354997.9,"COGENT-174",48806897898122,0,0.995740962503992,0.925193893772668,0.944771523619428,0.951107004228841,1,1,"",8,1,1,0.00219949392685384,2067,26595,28662
"juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx",647829.295236026,657144.606425468,0.00234058664374372,0.0448993963404567,0.0448993963404567,0,355048.1,"Latitude.sh LTDA",771753362570855,0,0.98827566083306,0.934820315388016,0.944905123087159,0.95080175907121,1,1,"",9,1,1,0.0347792823286191,32677,26586,59263
"7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD",40476.687398383,41743.9400693064,0.000108784356234055,0.896552614052614,0.0879239794811454,0,356143,"ZEN-ECN",0,0,0.999455083326244,0.872362264985558,0.947819028609448,0.94995867059481,1,1,"",10,1,1,0,0,26563,26563
"6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ",419477.484616722,437288.524851036,0.00113933592200882,0.0381435266236005,0.0381435266236005,0,353770.2,"ALLNODES",0,0,0.994292900538241,0.944627695738641,0.941504191616766,0.949865800998676,1,1,"",11,1,1,0,0,26560,26560
"bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8",68562.081633288,74522.1015840085,0.00575114318859631,0.0447990897504397,0.0403259379015368,0,355045.7,"RADIOKOMUNIKACE a.s.",0,0,0.971191686699156,0.941459526667706,0.94489873586161,0.948679250667855,1,1,"",12,1,1,0,0,26527,26527
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",41316.304521562,49503.3431241972,0.000128770414317739,0.05910579004329,0.0423365111042674,0,352667.5,"MWAY",25152661503971,0,0.999354970252367,0.938540811987232,0.938569527611444,0.947918925277416,1,1,"",13,1,1,0.00113351344998025,1065,26506,27571
"8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN",139762.343789272,142194.97134955,0.00281585128725179,0.0438162666585168,0.0396801112615214,0,352823.8,"OOO NIIR-RadioNet",0,0,0.985894991059763,0.94239706213903,0.938985495675316,0.946464769308594,1,1,"",14,1,1,0,0,26465,26465
"GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr",211009.899418845,212843.78851904,0.00225915720996212,0.0510808773043042,0.0510808773043042,1,351924.012,"Amarutu Technology Ltd",0,0,0.988683552718788,0.925846765351765,0.936590850299401,0.943778644137181,1,1,"",15,1,1,0,0,26390,26390
"MELNFCV6Rfn1mPLhpAK7gjYzDUhvLdKyMW4mFbfoL9F",65945.500797932,66915.2009874827,0.00255978006598134,0.130636705399863,0.0790000361414696,0,353207.6,"ORACLE-BMC-31898",0,0,0.98717768907784,0.885317000678768,0.940006919494344,0.943057044136761,1,1,"",16,1,1,0,0,26370,26370
"BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2",4225006.62132697,4248519.93364086,0.0112160959131379,0.0500280613968441,0.0500280613968441,5,354735.035,"HURRICANE",0,0,0.9438169430873,0.927375120171558,0.944071949434464,0.942748346206985,1,1,"",17,1,1,0,0,26361,26361
"LodezVTbz3v5GK6oULfWNFfcs7D4rtMZQkmRjnh65gq",96590.77408083,104681.19152848,0.00039520065934588,0.0890115142635304,0.0746340930274259,0,351968.2,"STACKPATH",35293595309016,0,0.998020382376549,0.891654965515743,0.936708449767132,0.942675402149244,1,1,"",18,1,1,0.00159053737789348,1494,26359,27853
