vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,score,eligible_stake_algo,eligible_stake_msol,ui_hints,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,7887541.05143855,8121011.64228625,0.0213730094041603,0.0631121555007094,0.0631121555007094,8,322344.54,NorthC Deutschland GmbH,0,1214035,0.892939485089187,0.90838116487076,0.857869700598802,0.86715054931055,1,1,"",244,0,1,0,0,0,1214035
AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,837412.6186459,971628.13707799,0.0266392516012659,0.052843883404875,0.052843883404875,0,355153.7,LATITUDE-SH,3787393393427080,0,0.866560111431239,0.923287439593065,0.945186161011311,0.931405328659127,1,1,"",26,1,1,0.0999999966863114,93956,26044,120000
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,63884.444061054,64721.7932357106,0.0266392516012659,0.0351135679550927,0.0337209744188673,6,350998.616,LATITUDE-SH,3083323237488630,0,0.866560111431239,0.951047839022947,0.93412805322688,0.925034507242632,1,1,"",29,1,1,0.0999999966863114,93956,25866,119822
5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,129436.268948374,139123.543240757,0.00104150155502019,0.038213118014061,0.038213118014061,10,320240.79,SERVER-MANIA,3132049998003640,0,0.994782967122114,0.9445266711091,0.852270898203593,0.881292429799174,1,1,"",87,1,1,0.0999999966863114,93956,24643,118599
GREENr9zSeapgunqdMeTg8MCh2cDDn2y3py1mBGUzJYe,170057.495524109,177014.181227421,0.0354283001606752,0.0542260465254904,0.0542260465254904,7,337996.875,WEBNX,2063669634476990,0,0.822534487966004,0.92128097706513,0.899525948103792,0.889354571848851,1,1,"",69,1,1,0.0929999289876539,87379,24868,112247
BeachiopjxQxL7CaHNSZsynApiZCKx9QFVtcWNz3jDBo,74194.045401396,77459.2225972493,0.0213730094041603,0.0198917748917749,0.0198917748917749,10,318311.55,NorthC Deutschland GmbH,4979711933661900,0,0.892939485089187,0.97112345110417,0.847136526946108,0.863720591595663,1,1,"",298,0,1,0.0999999966863114,93956,0,93956
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,146928.256425369,152004.051253902,0.0844489461899727,0.0371761893961636,0.0371761893961636,6,336233.359,UAB Cherry Servers,3105807641144050,0,0.576982937133124,0.946031962622759,0.894832625415835,0.84987108392672,1,1,"",614,0,1,0.0999999966863114,93956,0,93956
EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72,493116.775098742,504028.754979609,0.0844489461899727,0.110194546851849,0.110194546851849,5,334430.495,UAB Cherry Servers,3213558775723080,0,0.576982937133124,0.840032463793009,0.890034584165003,0.838026475362253,1,1,"",721,0,1,0.0999999966863114,93956,0,93956
1234LB7uvDC23rdCQoK8C3jNwnovUNyeKxz8wC3dghJ5,331752.846334195,341428.224713793,0.0354283001606752,0.0372013880651042,0.0372013880651042,5,345179.175,WEBNX,1547542089193040,0,0.822534487966004,0.945995382146671,0.918640518962076,0.90595919597688,1,1,"",48,1,1,0.0697404861598661,65525,25332,90857
BWkvytz3MAiLkUbMuYK5yV1VYThbBYYQYG3gdef8NLw5,141564.587823693,148169.268336402,0.0243308140851818,0.0463691915749921,0.0400757226764982,10,317098.35,IS-AS-1,1557290301518800,0,0.878123410938481,0.941822759824104,0.843907784431138,0.856703648154803,1,1,"",449,0,1,0.0701797818539166,65938,0,65938
mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR,46771.955622918,56963.6923510439,0.0354283001606752,0.031375313283208,0.0294774487803185,8,327288.896,WEBNX,1548604790259990,0,0.822534487966004,0.957208092507563,0.871028332667997,0.870196953470734,1,1,"",196,0,1,0.0697883689597381,65570,0,65570
juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx,647829.295236026,657144.606425468,0.00234058664374372,0.0448993963404567,0.0448993963404567,0,355048.1,Latitude.sh LTDA,771753362570855,0,0.98827566083306,0.934820315388016,0.944905123087159,0.95080175907121,1,1,"",9,1,1,0.0347792823286191,32677,26586,59263
Va1idkzkB6LEmVFmxWbWU8Ao9qehC62Tjmf68L3uYKj,829514.747390377,834581.175150246,0.00901312915780938,0.306710265778368,0.306710265778368,5,337292.18,ORACLE-BMC-31898,258119145664427,0,0.954851924202826,0.55475396063001,0.897650512308716,0.880074071701755,1,1,"",93,1,1,0.0116322066803233,10929,24608,35537
DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx,312825.800958754,326245.493325047,0.00085025229451479,0.0515306116036308,0.0515306116036308,0,354997.9,COGENT-174,48806897898122,0,0.995740962503992,0.925193893772668,0.944771523619428,0.951107004228841,1,1,"",8,1,1,0.00219949392685384,2067,26595,28662
3Xn3K5zeTzs4sURj1PCRaF6rvFg2hPgT49B4SiM998f7,47794.431344523,51948.7189921578,0.0736921347763741,0.006921977124183,0.006921977124183,0,350246.1,PACKET,75227499272000,0,0.630865371139549,0.989951484371315,0.932125349301397,0.890225824589568,1,1,"",66,1,1,0.00339013536782324,3185,24892,28077
