vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,7887541.05143855,8042258.73055622,0.0211929303564902,0.0742241030750099,0.0742241030750099,8,327078.124,NorthC Deutschland GmbH,0,1214035,0.894959404938644,0.904115248831508,0.853658669247389,1086,2214,665,0.863893903937129,0,"",1,1,488,0,1,0,0,0,1214035
AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,1001279.12185996,1005787.71175246,0.0264464523204538,0.0458358187245009,0.0458358187245009,0,365806.7,LATITUDE-SH,3787393393427080,0,0.868920859820997,0.940788020455277,0.954738448737644,1258,1262,16,0.940462632882593,0,"",1,1,26,1,1,0.100000002744807,94676,26362,121038
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,63663.38878523,64559.8623343699,0.0264464523204538,0.0391730775244707,0.0313072812940375,0,366923.3,LATITUDE-SH,3083323237488630,0,0.868920859820997,0.959556387315222,0.95765272272951,1258,605,10,0.944148102634794,0,"",1,1,24,1,1,0.0891606241349913,84413,26466,110879
BeachiopjxQxL7CaHNSZsynApiZCKx9QFVtcWNz3jDBo,74226.741083852,75322.4241242927,0.0148495698176076,0.0293456439393939,0.020579653271999,10,323802.99,NorthC Deutschland GmbH,4979711933661900,0,0.926399623657095,0.973414634177185,0.845110722054054,936,260,1014,0.86748623861784,0,"",1,1,421,0,1,0.100000002744807,94676,0,94676
2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,64675.056356404,73662.288390533,0.0750073913583867,0.0832526394732741,0.050018546749659,10,323388.99,HVC-AS,3228122816667520,0,0.628233524587973,0.935384656597954,0.844030201337027,1603,1420,1035,0.817857978395705,0,"",1,1,873,0,1,0.0933477991962053,88378,0,88378
EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72,492138.415544126,502141.529819046,0.0851339474570666,0.11474125335435,0.11474125335435,5,345100.325,UAB Cherry Servers,3213558775723080,0,0.578042283422413,0.851774072425983,0.90069577443321,1650,2429,97,0.847293567969454,0,"",1,1,745,0,1,0.0929266635154457,87979,0,87979
5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,129436.268948374,134847.58346814,0.000968257223679344,0.0372442546371094,0.0372442546371094,10,328659.93,SERVER-MANIA,3132049998003640,0,0.995200931950565,0.951886840791781,0.857787109231249,268,870,479,0.886166138231184,0,"",1,1,113,0,1,0.0905696706168917,85747,0,85747
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,146928.256425369,149348.063743253,0.0851339474570666,0.0351937089739836,0.0351937089739836,6,347306.315,UAB Cherry Servers,3105807641144050,0,0.578042283422413,0.954535792446606,0.906453305584309,1650,769,84,0.859627185779578,0,"",1,1,596,0,1,0.0898108139287628,85029,0,85029
DfpdmTsSCBPxCDwZwgBMfjjV8mF8xHkGRcXP8dJBVmrq,94466.318640622,153871.036294796,0.00287261695290484,0.499438956938294,0.306605914975289,7,317788.347,ORACLE-BMC-31898,2982660430262400,0,0.985762167428439,0.603917990972779,0.829412783969458,407,2433,1216,0.836120781963403,0,"",1,1,810,0,1,0.0862497567072026,81657,0,81657
GREENr9zSeapgunqdMeTg8MCh2cDDn2y3py1mBGUzJYe,170057.495524109,172601.930575067,0.0374641918597994,0.039613029703827,0.039613029703827,7,346383.615,WEBNX,2065791843695940,0,0.814312558940629,0.94882679158355,0.904045101561118,1289,983,91,0.89368484039046,0,"",1,1,78,1,1,0.0597366264718099,56556,25051,81607
