"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","target_stake_msol","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",1022056.26307935,1041973.51567342,0.00268594296560915,0.0581339818161942,0.0581339818161942,0,392629.8,"AS-WAVE-1",0,0,0.986687397983071,0.925134335700743,0.998734506608928,373,2329,3,0.991219553673551,0,"",1,1,1,1,1,0,0,27144,27144
"Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4",2600211.49327459,2766002.18775001,0.0284918971400128,0.0222137815746471,0.0222137815746471,0,393127.3,"LATITUDE-SH",8507500000000,0,0.858782821456432,0.971392816004885,1,1270,595,1,0.976073727609058,0,"",1,1,2,1,1,0.000246043146903653,229,26729,26958
"7ztvwhHQxU68beHN88iK2h7KMZb3zdHcESWpNHJhQwsc",47452.349045554,54014.7679297841,0.00040653410939578,0.269939309056956,0.0500829519842875,0,382415.8,"TIER-NET",0,0,0.997985055202591,0.935502551980244,0.972753100585993,215,2017,9,0.973769512941951,0,"",1,1,3,1,1,0,0,26666,26666
"DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5",252150.138179077,263809.024331541,0.0284918971400128,0.0337376183746887,0.0337376183746887,0,392070.2,"LATITUDE-SH",6501528140136,0,0.858782821456432,0.956552275750149,0.997311049118187,1270,1297,5,0.972863723834221,0,"",1,1,4,1,1,0.000188039223060362,175,26641,26816
"5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T",122469.485443675,128751.086437692,0.000331831619235297,0.0306446558928839,0.0289074884670709,0,380519.6,"Web Werks India Pvt. Ltd.",0,0,0.998355310466352,0.962772577076296,0.96792972657966,197,959,13,0.9722138818312,0,"",1,1,5,1,1,0,0,26623,26623
"5yHqB3NxovCEMUniQCboaPRMyyQ7kQQF4QqvC4vaz78z",95904.947543688,101155.837506553,0.00040653410939578,0.0155013105671,0.0132467567130088,0,379113.1,"TIER-NET",2704427055171,0,0.997985055202591,0.982940662068089,0.964352005062991,215,254,25,0.970956217161783,0,"",1,1,6,1,1,0.0000782078462042293,73,26589,26662
"juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx",660102.372867929,667194.707460328,0.00208516034483258,0.0262129076510939,0.0262129076510939,0,379987.8,"Latitude.sh LTDA",771753362570855,0,0.98966511569022,0.966242691740624,0.9665769840965,345,805,20,0.970103289545082,0,"",1,1,7,1,1,0.022319322443895,20804,26565,47369
"7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD",40476.687398383,42612.6655295715,0.000109850462258871,0.82241341991342,0.059930492557452,0,380859.9,"ZEN-ECN",0,0,0.999455537401891,0.922820766840274,0.968795349496206,167,2354,12,0.969975795123548,0,"",1,1,8,1,1,0,0,26562,26562
"DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx",313964.883226201,326034.561088304,0.00084047569378383,0.0435716024715929,0.0435716024715929,0,380058,"ASN-CXA-ALL-CCI-22773-RDC",48806897898122,0,0.99583426805427,0.943887948808794,0.96675555220917,271,1786,19,0.96947015438531,0,"",1,1,9,1,1,0.00141150201613733,1316,26548,27864
"bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8",68562.081633288,77107.6987995646,0.00570251802125465,0.0268783504781223,0.0232297850749808,0,380403.8,"RADIOKOMUNIKACE a.s.",0,0,0.971736051776471,0.970084394069788,0.967635165504914,590,650,15,0.968454473282452,0,"",1,1,10,1,1,0,0,26520,26520
