"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","marinade_stake","version","target_stake_msol","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_algo","target_stake"
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",1030516.88528077,1040569.17242759,0.00269824532567562,0.0248426059642665,0.0248426059642665,0,410995.6,"AS-WAVE-1",0,33853.906761674,"1.13.5",0,0.986238479147241,0.968797116626064,0.998432614065467,397,2210,3,0.994276939659632,0,"",1,1,1,1,1,0,0,26808,26808
"GHRvDXj9BfACkJ9CoLWbpi2UkMVti9DwXJGsaFT9XDcD",116679.150516906,121325.136620033,0.000314607694897564,0.00465725806451612,0.0046204461459087,0,404793.6,"TEXASNET-ASN",0,30911.433083236,"1.13.6",0,0.998395445991299,0.994196613574529,0.98336608033023,202,340,12,0.986511408373802,0,"",1,1,2,1,1,0,0,26599,26599
"5yHqB3NxovCEMUniQCboaPRMyyQ7kQQF4QqvC4vaz78z",99041.877085024,104672.807315354,0.000407116103089742,0.0131887228619386,0.0102609567436713,0,404559.3,"TIER-NET",2704427055171,32026.498757619,"1.13.6",0,0.997923637006298,0.987112002781097,0.982796894768449,220,965,25,0.985456017267552,0,"",1,1,3,1,1,0.0000943620759572108,88,26570,26658
"5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T",116227.293335831,122510.639296643,0.000317659935407816,0.0182075442617282,0.0158652817570879,0,404787.2,"Web Werks India Pvt. Ltd.",0,31050.279004979,"1.13.5",0,0.998379879033384,0.980072841912273,0.983350532794611,203,1590,13,0.985410609840397,0,"",1,1,4,1,1,0,0,26569,26569
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",54997.860207515,74403.0801225325,0.000192947106083198,0.0169378222976424,0.0146779615492986,0,404566.9,"MWAY",25152661503971,31380.095563383,"1.13.6",0,0.999015936172083,0.981564143349185,0.982815357466995,175,1483,24,0.985211506951024,0,"",1,1,5,1,1,0.000877932910346691,814,26564,27378
"6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ",456187.308848518,468244.613991906,0.00121421083330401,0.0100824371230658,0.0100824371230658,0,404644.7,"ALLNODES",0,29859.114984166,"1.13.6",0,0.993807313388758,0.987336227522644,0.983004357196857,291,946,17,0.984999571251441,0,"",1,1,6,1,1,0,0,26558,26558
"DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx",313964.883226201,317657.521189481,0.000823738001582727,0.0146744979185419,0.0146744979185419,0,404559.3,"COGENT-174",28169757490035,31652.232156342,"1.13.6",0,0.995798792801336,0.981568493748927,0.982796894768449,268,1481,25,0.984702694387391,0,"",1,1,7,1,1,0.000983232889440793,912,26550,27462
"7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD",41017.416715932,42172.1195628361,0.000109356983071492,0.686277056277056,0.0305892519316184,0,404839.6,"ZEN-ECN",0,31990.79653491,"1.13.5",0,0.999442260350231,0.961579197372001,0.983477828242487,168,2415,11,0.984249384653641,0,"",1,1,8,1,1,0,0,26538,26538
"juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx",666524.361934313,689348.553317415,0.00220044053529239,0.0138253122911013,0.0138253122911013,0,404471.2,"Latitude.sh LTDA",786906344793936,43297.836139149,"1.13.6",0,0.988777370232597,0.982635090390759,0.982582873223451,373,1402,31,0.983539889468497,0,"",1,1,9,1,1,0.0274660718784003,25469,26519,51988
"8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN",142711.901885539,156285.383390321,0.00330467779485885,0.0120025203063682,0.0120025203063682,0,404766.7,"OOO NIIR-RadioNet",0,28110.950760875,"1.13.6",0,0.983145567990853,0.9849245589673,0.983300732094584,586,1186,14,0.983401770453449,0,"",1,1,10,1,1,0,0,26515,26515
"DujbfBa9RitWFkjhVqyV3h4rp2nsf7ikU7C484TwKShR",14722.464199014,37671.3239705157,0.0000977330221431198,0.0752380952380953,0.0142402495229675,0,403521.1,"CENTURYLINK-US-LEGACY-QWEST",0,30445.528515013,"1.13.6",0,0.999501544574384,0.982113919702303,0.980274792974846,167,1446,33,0.983374226046118,0,"",1,1,11,1,1,0,0,26514,26514
"MELNFCV6Rfn1mPLhpAK7gjYzDUhvLdKyMW4mFbfoL9F",64884.299165835,74426.9653786711,0.00286916250313684,0.0223766390614217,0.0157450037743618,0,404478.4,"ORACLE-BMC-31898",0,30040.188467999,"1.13.6",0,0.985366771790114,0.980223913819658,0.982600364201022,533,1579,29,0.982843161493085,0,"",1,1,12,1,1,0,0,26500,26500
"voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd",432791.17395343,439996.751414822,0.0116063073378207,0.0145944756527731,0.0145944756527731,0,407512.3,"RELIABLESITE",1000000000000,31639.172333704,"1.13.6",0,0.940805812231713,0.98166900355171,0.989970624874891,859,1475,10,0.981768221289542,0,"",1,1,13,1,1,0.0000348985583511298,32,26471,26503
"DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao",214985.658634403,229420.934802463,0.000815465343076305,0.0075468453242626,0.0075468453242626,0,401768.1,"23M GmbH",0,29340.899324691,"1.13.5",0,0.995840984799766,0.990520989028574,0.97601622579686,266,640,37,0.980181939738208,0,"",1,1,14,1,1,0,0,26428,26428
"bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8",68929.790116576,85503.4651276987,0.00485162509427194,0.00734837480527134,0.00618898777865272,0,402967.8,"RADIOKOMUNIKACE a.s.",0,27466.244221042,"1.13.6",0,0.975255867482,0.992226489276616,0.978930659934584,600,491,34,0.979388063352804,0,"",1,1,15,1,1,0,0,26407,26407
"CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc",119325.168640943,133037.13736377,0.00823834344454634,0.0159148546822965,0.0131125705182005,0,404598,"Inetcom LLC",0,26019.936780433,"1.13.6",0,0.957983014359184,0.983530310419106,0.982890908772891,646,1311,22,0.979108109758953,0,"",1,1,16,1,1,0,0,26399,26399
"Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4",2610710.57437696,2764217.3032773,0.0290053403924569,0.00846790042409851,0.00846790042409851,0,411640.8,"LATITUDE-SH",8507500000000,24600.998428681,"1.13.6",0,0.852067714950192,0.989364122679589,1,1271,748,1,0.976423042506152,1,"SLOW_VOTER",0,0,17,0,0,0,0,0,0
"GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr",211665.716436822,216652.802902312,0.00276681742259478,0.0115093611802155,0.0115093611802155,1,400459.554,"Amarutu Technology Ltd",0,28682.015593754,"1.13.6",0,0.985888749516399,0.985543978150628,0.97283737180571,399,1118,40,0.975822707326195,0,"",1,1,18,1,1,0,0,26310,26310
"Dzizye1iPJ8A3U75zVSLo2KgGBAgXWrS7hHLnmhwSxF6",157.929563914,1630.3982951119,0.00143496242861986,0,0,0,399170.9,"Hetzner Online GmbH",0,27620.790375507,"1.13.6",0,0.992681441825742,1,0.969706841498705,308,1,43,0.97557163835681,0,"NOT_ELIGIBLE_ALGO_STAKE_MIN_STAKE_BELOW_1000",0,0,19,0,1,0,0,0,0
"6anBvYWGwkkZPAaPF6BmzF6LUPfP2HFVhQUAWckKH9LZ",340532.352901269,367705.432202158,0.0116063073378207,0.0268664848594772,0.0268664848594772,0,404753.3,"RELIABLESITE",0,29951.325860656,"1.13.6",0,0.940805812231713,0.966255078273845,0.983268179441882,859,2307,15,0.975426807473546,0,"",1,1,20,1,1,0,0,26300,26300
"EXrWdDxFaE3Sfsbh3TV5ToGhMqu53xrmeoVdvn467jUH",282397.978583562,291486.904939997,0.00120531474206256,0.0177256113857283,0.0177256113857283,0,399859,"JSC Ufanet",0,26079.761639944,"1.13.6",0,0.993852685002659,0.977736225193276,0.97137844450793,288,1740,41,0.975325080021377,0,"",1,1,21,1,1,0,0,26297,26297
"DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5",265538.522522532,278667.732665333,0.0290053403924569,0.0214968513343164,0.0214968513343164,0,410906.5,"LATITUDE-SH",6501528140136,24414.63007196,"1.14.15",0,0.852067714950192,0.97299946124588,0.998216163218029,1271,2011,5,0.973792040255889,0,"",1,1,22,1,1,0.000226946382489469,210,26256,26466
"LodezVTbz3v5GK6oULfWNFfcs7D4rtMZQkmRjnh65gq",100754.10700184,111587.537058912,0.00035900293214243,0.130032740233784,0.0292388415390552,1,399182.373,"STACKPATH",35293595309016,29095.293525845,"1.13.6",0,0.998169022553336,0.963275343824861,0.969734712885603,207,2403,42,0.97361234752212,1,"SLOW_VOTER",0,0,23,0,0,0,0,0,0
"9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6",63663.38878523,65639.2969887054,0.0290053403924569,0.0105263157894737,0.00405311309526592,0,407751.3,"LATITUDE-SH",3083323237488630,51601.253595408,"1.13.6",0,0.852067714950192,0.994909196909742,0.990551228158142,1271,305,8,0.969581300645503,0,"",1,1,24,1,1,0.0999999909354394,92729,26142,118871
"BACKboNezqTz4fKH3x26e6xVXL4r9ApVoBL5x9qfj1oS",30140.480455349,53322.1608627243,0.0174582350661933,0.0117424242424242,0.00463338515257661,0,402207.3,"EVERYWHERE-WIRELESS-LLC",0,24412.425769681,"1.13.6",0,0.910959962154063,0.994180361885129,0.977083175428675,1083,352,35,0.968225541575385,0,"",1,1,25,1,1,0,0,26106,26106
"ChaossQVry9AgexbXooZoWUTDfhT1x5zsAmTbBqa5142",27076.176696456,32736.6022389797,0.0290053403924569,0.0126373626373626,0.00727196391946711,0,404661.3,"LATITUDE-SH",43213395107310,22338.175510194,"1.13.5",0,0.852067714950192,0.99086624638313,0.983044683617367,1271,586,16,0.963496039419784,0,"",1,1,26,1,1,0.00150831267041563,1399,25978,27377
"DDBCYLw8kkN8ZLHsBeT42YvEz5F6eq57zqaLCyLzFQnG",25083.043081094,34866.5821719259,0.0290053403924569,0.0145535714285714,0.0114638273809802,0,404605.3,"LATITUDE-SH",0,21126.442236015,"1.13.6",0,0.852067714950192,0.985601169647734,0.982908642680706,1271,1115,20,0.962986386642706,0,"",1,1,27,1,1,0,0,25964,25964
"73ckp5sRXUBqfEibK2TdCeArUpdFyw4mvq6QtTjMfuZD",20132.593644619,20739.8816021031,0.0290053403924569,0.0227380952380952,0.0101047500835538,0,404500.7,"LATITUDE-SH",0,20161.257283014,"1.13.6",0,0.852067714950192,0.987308201932059,0.982654537645442,1271,948,27,0.962922231406682,0,"",1,1,28,1,1,0,0,25963,25963
"CV7uvPY1Hk5Avb2NvkGJoUzGnipZrEZK27j5rQJoUae9",41482.75752218,48173.8638122577,0.0290053403924569,0.0174603174603175,0.0130069908276192,0,404637.8,"LATITUDE-SH",0,21781.239116355,"1.13.6",0,0.852067714950192,0.983662920934147,0.982987595010018,1271,1299,18,0.962898023148824,0,"",1,1,29,1,1,0,0,25962,25962
"AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA",153390.392095384,169364.856166686,0.0290053403924569,0.0124415215289935,0.0124415215289935,0,404598.5,"LATITUDE-SH",0,31961.487976766,"1.13.6",0,0.852067714950192,0.984373163354042,0.982892123424112,1271,1240,21,0.962879217499657,0,"",1,1,30,1,1,0,0,25961,25961
"EPWrFd8jJ4SLA1YtcZcRAsAMxmnikSVqbumerCq5yV6z",226368.818939432,258698.091038365,0.0290053403924569,0.014868737895823,0.014868737895823,0,404589.5,"LATITUDE-SH",0,30079.6769563,"1.13.6",0,0.852067714950192,0.98132452387852,0.982870259702148,1271,1501,23,0.962627888523107,0,"",1,1,31,1,1,0,0,25955,25955
"AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t",1001627.07036545,1006889.57505855,0.0290053403924569,0.0135938456674785,0.0135938456674785,0,404491.1,"LATITUDE-SH",3785800961206110,51601.253853524,"1.13.6",0,0.852067714950192,0.982925817783539,0.982631216342015,1271,1380,28,0.962567185469544,0,"",1,1,32,1,1,0.0999999909354394,92729,25953,118682
"Luck3DN3HhkV6oc7rPQ1hYGgU3b5AhdKW9o1ob6AyU9",18913.111619444,21238.6370618263,0.00220044053529239,0,0,4,388197.216,"Latitude.sh LTDA",4000000000000,20955.620078451,"1.13.6",0,0.988777370232597,1,0.943048444177545,373,1,56,0.95446455248005,0,"",1,1,33,1,1,0.000139624448606555,129,25735,25864
"RAREcr3SmDePhWD4Je1qEh1UMCQD5MFaDHF7UTzezQh",72507.045234836,73737.9573289321,0.000191199368433975,0.011959428242323,0.011175333551849,4,387695.232,"MARKLEY-NETWORK-SERVICES",0,21985.96539669,"1.13.6",0,0.999024849938328,0.98596352451974,0.941828973221313,174,1064,62,0.954023304354579,0,"",1,1,34,1,1,0,0,25723,25723
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",6419945.50715754,6444136.45100179,0.0317994700323863,0.0120130855561372,0.0120130855561372,1,400912.974,"AMAZON-AES",0,0,"1.13.6",0,0.837817167403863,0.984911288771056,0.973938866118227,1299,1188,39,0.953841098827773,0,"",1,1,35,1,1,0,0,25718,25718
"BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2",4216720.95799901,4226842.30679909,0.0110807009761713,0.0174476532665433,0.0174476532665433,5,390238.53,"HURRICANE",0,0,"1.13.6",0,0.943486496170031,0.978085346971734,0.948007413259327,851,1714,54,0.949625574761928,0,"",1,1,36,1,1,0,0,25604,25604
"BEARSLRLiizzRK7oJzhDUoPCzP1EG7Xt1WqCLL7zeN81",56358.416359906,61020.2107709377,0.0290053403924569,0.00192307692307693,0.00192307692307693,2,396487.028,"LATITUDE-SH",0,26143.234857307,"1.13.5",0,0.852067714950192,0.997584571238775,0.963186904699437,1271,175,44,0.948737619087195,0,"",1,1,37,1,1,0,0,25580,25580
"AM3wUMazVnap88dVdE26jdSKBeLTe8EitNS7eTV35Tjd",16160.656991253,16871.9556875711,0.0000437521241642498,0.03,0.00825344162672197,5,384085.855,"ServeTheWorld AS",0,20216.842381674,"1.13.6",0,0.999776856550696,0.989633487852175,0.933060704866962,161,721,92,0.947676480740245,0,"",1,1,38,1,1,0,0,25552,25552
"8jxSHbS4qAnh5yueFp4D9ABXubKqMwXqF3HtdzQGuphp",247676.575678672,253532.88134375,0.000657429743526883,0.0125338014169893,0.0125338014169893,5,384255.715,"Blix Solutions AS",0,20964.807072933,"1.13.6",0,0.996646993867208,0.984257257696357,0.933473346179485,239,1246,87,0.94709882363274,0,"",1,1,39,1,1,0,0,25536,25536
"FCvNkHa4U3yh7AXWGGL2jWLWiSRouR8EtzY5WVTHKTHa",139910.863022217,141981.835395492,0.000368173755891003,0.0140494367512914,0.0123264525471764,5,384062.39,"uvensys GmbH",0,19828.960865177,"1.13.6",0,0.998122249755824,0.984517692636709,0.933003701285198,209,1227,93,0.946984554230795,0,"",1,1,40,1,1,0,0,25533,25533
"7PmWxxiTneGteGxEYvzj5pGDVMQ4nuN9DfUypEXmaA8o",267291.354965364,271247.055893823,0.00309708819636314,0.0116297279825702,0.0116297279825702,5,384233.96,"M247 Europe SRL",0,17606.359522855,"1.13.6",0,0.984204311078937,0.98539279468375,0.933420496704894,558,1131,90,0.945231260299274,0,"",1,1,41,1,1,0,0,25486,25486
"BH7asDZbKkTmT3UWiNfmMVRgQEEpXoVThGPmQfgWwDhg",374718.290121434,386981.009485293,0.0010034599409247,0.0136324869689954,0.0136324869689954,5,383101.18,"01node Staking Services S.r.l.",0,19600.352085156,"1.13.6",0,0.994882179625944,0.982877283421791,0.930668631486481,281,1384,101,0.944563689041422,0,"",1,1,42,1,1,0,0,25468,25468
"HQbdXrLm3EuFyu66mCpDS4ir9zRkhNHJVnck4vxG7jEo",134430.090136314,136680.623019633,0.00293896797001482,0.00558880884377303,0.00558880884377303,6,383400.714,"JSC ER-Telecom Holding",0,19841.056769095,"1.13.6",0,0.985010751757785,0.992980327796435,0.931396290163657,545,436,100,0.944381902534506,0,"",1,1,43,1,1,0,0,25463,25463
"H7fXvnLCKtZqJBTipxeseabGfAZUdHJ9XuP6hCKrbvUb",25992.740513201,26858.3529212737,0.00035900293214243,0.100119047619048,0.017463618647196,5,382800.885,"STACKPATH",0,20664.623144676,"1.13.6",0,0.998169022553336,0.978065294087136,0.929939124110147,207,1716,102,0.944138044638098,0,"",1,1,44,1,1,0,0,25456,25456
