vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,marinade_stake,version
Ev3gPXRo6TJeQ2QhxfqWFoasdoGbmDytYvJbUabEHfLf,234167.69818683,299138.0512688294,0.13109695870557916,0.011105742380972394,0.011105742380972394,0,420985.5,OVH SAS,3000000000000,97.312933884,1.13.6
HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH,1043535.698016564,1117960.434083772,0.002847018612052968,0.010693781830970828,0.010693781830970828,0,420615.9,AS-WAVE-1,0,34020.489917701,1.13.5
59k9CiZ7L1bpEivLrAtaMPMgw18syZ4RQsJUo3hbbj8x,20743.0406453,33814.9364286613,0.18873211559023637,0.00357142857142857,0.0015883744392649305,0,420482.9,TERASWITCH,0,0.0,1.14.15
DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5,279678.060204337,297990.5160276715,0.03051151257496855,0.008935714955503849,0.008935714955503849,0,420447.9,LATITUDE-SH,6501528140136,25549.605710188,1.14.17
SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV,4633.425691707,21224.3407903203,0.08486132181833107,0.0017857142857142904,0.0017857142857142904,0,419850.3,UAB Cherry Servers,0,24481.296746631,1.13.6
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,65086.165434058,126950.1395530496,0.03051151257496855,0.013425151237651256,0.007686641135963746,0,419407.1,LATITUDE-SH,2353187612488634,119251.219789703,1.13.6
8B2Z2R8dRvqFcXuLBwinu3Jq7HQidCaJCnDuRRqeJLC1,9765.379490095,9981.2720478177,0.18873211559023637,0.0,0.0,0,419212.1,TERASWITCH,0,50.925395029,1.14.17
5EYp3kCdMLq52vzZ4ucsVyYaaxQe5MKTquxahjXpcShS,34666.796494644,42851.4013000887,0.18873211559023637,0.0,0.0,0,419092.0,TERASWITCH,0,0.0,1.13.6
voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,438097.565221688,455605.5316694548,0.014184339650250346,0.016635034811350015,0.016635034811350015,0,418181.2,RELIABLESITE,1000000000000,31759.199304792,1.13.6
5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T,114204.80993388,116573.7111153921,0.0002969729102647627,0.006253191795664459,0.005265222924622538,0,417865.0,Web Werks India Pvt. Ltd.,0,31168.095600727,1.13.5
MELNFCV6Rfn1mPLhpAK7gjYzDUhvLdKyMW4mFbfoL9F,73474.228272888,75006.1729356167,0.0023217779928293887,0.02789134494377462,0.01033495268402792,0,417855.9,ORACLE-BMC-31898,0,29114.421406716,1.13.6
6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ,473872.522048942,489020.3658695533,0.001245566924719718,0.005399621072372884,0.005399621072372884,0,417841.3,ALLNODES,0,29988.418752293,1.13.6
