vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,mnde_votes,marinade_stake,version,target_stake_msol,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,eligible_stake_mnde,mnde_power,target_stake_mnde,target_stake_algo,target_stake
DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,7902091.66893613,7919448.67060954,0.0208582718613814,0.0125295643712441,0.0125295643712441,8,377215.088,UNITAS,0,1193280.44865526,1.13.7,1170000,0.887043474842887,0.978231973377733,0.906303429399576,628,945,161,0.908873324389175,0,"",1,1,197,0,1,0,0,0,1170000
AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,1094453.04197873,1107428.19347734,0.030826883452195,0.0164700749267249,0.0164700749267249,0,411872.3,LATITUDE-SH,3785800961206110,116653.166391801,1.13.7,0,0.833059149898688,0.971385994049522,0.989571440378576,769,1239,22,0.964093745971743,0,"",1,1,27,1,1,0.100000005463123,94052,26457,120509
5tq4wWgnwRiJVU6nakZrBCZJ63pMEZJxmVrL2WnZ6yQv,1475.854729167,75721.3722895771,0.030826883452195,0.0308028404344194,0.0165520080296498,6,388604.868,LATITUDE-SH,3650878125000000,118483.336053767,1.13.7,0,0.833059149898688,0.971243648959712,0.933668709852268,769,1245,110,0.921080695944598,0,"",1,1,88,1,1,0.100000005463123,94052,25277,119329
BeachiopjxQxL7CaHNSZsynApiZCKx9QFVtcWNz3jDBo,119034.178304005,139527.730417216,0.000353825655297715,0.0106356606622854,0.0080812683838054,10,370762.56,NorthC Deutschland GmbH,4979321694199950,118370.301944677,1.13.7,0,0.998083881694539,0.985960145132892,0.890800475141562,41,485,264,0.914625589225969,0,"",1,1,106,1,1,0.100000005463123,94052,25100,119152
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,183141.754790078,188357.539100956,0.0348121860724769,0.00941761899477483,0.00941761899477483,5,391051.635,Latitude.sh LTDA,3092688151518800,107244.7968943,1.13.7,0,0.811477019860388,0.983638459014017,0.93954735414192,803,624,89,0.923235849242615,0,"",1,1,82,1,1,0.0894834393352166,84161,25336,109497
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,132407.514934871,149271.608832494,0.030826883452195,0.0164253246753247,0.0126555921241713,0,414080.8,LATITUDE-SH,2353187612488630,89779.552681902,1.13.6,0,0.833059149898688,0.978013021193956,0.994877620294234,769,955,7,0.968685194148744,0,"",1,1,21,1,1,0.0680868455158332,64037,26583,90620
2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,170836.941110946,174246.227956154,0.00267576805883141,0.0188293311059337,0.0164891931893202,10,370745.37,HVC-AS,3273213402913010,91143.825233357,1.13.7,0,0.985509563588938,0.971352779259541,0.890759174153222,153,1241,280,0.911535665228433,0,"",1,1,154,0,1,0.0947067310972808,89074,0,89074
5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,164197.421079844,170160.059827886,0.00108557266242301,0.0175455581494909,0.0157417143775179,10,370928.7,SERVER-MANIA,3130963058541690,84463.017933471,1.13.7,0,0.99412115650962,0.972651398923624,0.891199645950341,110,1188,197,0.913299243957406,0,"",1,1,120,0,1,0.0905908962848525,85203,0,85203
mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR,59296.265466478,67022.944236578,0.0258964046334206,0.00989583333333334,0.0029591272783967,6,387552.13,Latitude.sh LTDA,1550726999478930,67056.882733492,1.13.7,0,0.85975981611067,0.994859010300258,0.931139383507667,634,87,115,0.925059421353713,0,"",1,1,75,1,1,0.0448685460646968,42200,25386,67586
GREENr9zSeapgunqdMeTg8MCh2cDDn2y3py1mBGUzJYe,179054.214298772,183169.01487863,0.0538402432943301,0.00926053174089011,0.00926053174089011,7,384714.919,WEBNX,2065994043695940,55732.974050733,1.13.7,0,0.708431895194489,0.983911371896162,0.924322651778129,811,610,123,0.895692436928187,0,"",1,1,436,0,1,0.0597772171278298,56222,0,56222
