"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","mnde_votes","marinade_stake","version","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","msol_votes","msol_power","eligible_stake_mnde","mnde_power","target_stake_mnde","target_stake_msol","target_stake_algo","target_stake"
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",1381255.19342109,1394941.54862065,0.00358562390508126,0.0134976675384014,0.0134976675384014,0,417508.2,"AS-WAVE-1",0,40023.813844912,"1.14.17",0.979675032078024,0.986450926414379,0.999282206352629,225,1431,3,0.995278696468979,0,"",1,1,1,1,55.248220678,0.0000641210231849962,1,0,0,81,39979,40060
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",136629.009228145,143501.201154011,0.000368850891541747,0.0131099456099456,0.0100769314738838,0,415445.3,"MWAY",25152661503971,49600.552234238,"1.14.19",0.997909183244803,0.989884690397917,0.994344772157361,42,1128,17,0.994550059881626,0,"",1,1,2,1,6699.476682928,0.00780994062393253,1,0.000586952184488722,743,9891,39949,50583
"GHRvDXj9BfACkJ9CoLWbpi2UkMVti9DwXJGsaFT9XDcD",170893.03347252,174028.688995435,0.000447333434011518,0.0122291032884253,0.00705178438676839,0,414979.4,"TEXASNET-ASN",0,39297.557277251,"1.14.19",0.997464308043064,0.992921358798146,0.993229666921249,55,716,27,0.99385743416129,0,"",1,1,3,1,0,0,1,0,0,0,39922,39922
"7D1KBDEhnBs1w9AEd4zjbWybw7mhfNUh4KdZpjGvySjD",47277.668178185,48211.9035339603,0.000123926808170638,0.965597735597735,0.0216373448317085,0,415408.4,"ZEN-ECN",0,39832.850875293,"1.14.17",0.999297525767504,0.978280249051311,0.994256454099382,12,1775,18,0.993803064736934,0,"",1,1,4,1,0,0,1,0,0,0,39919,39919
"6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ",728431.22877724,743491.360931413,0.00191109920150131,0.00987029818387136,0.00987029818387136,0,415454,"ALLNODES",0,39962.635734181,"1.14.18",0.98916700942584,0.990092110653576,0.994365595114121,163,1102,16,0.993237083126651,0,"",1,1,5,1,0,0,1,0,0,0,39897,39897
"5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T",119850.476942023,123727.369464649,0.00284880599953351,0.0106557723697785,0.00687518904863116,0,415493.4,"HVC-AS",0,39119.350459219,"1.14.17",0.983851655363409,0.993098626701988,0.994459896780364,181,694,14,0.992723146556342,0,"",1,1,6,1,0,0,1,0,0,0,39876,39876
"bXr9MyoUAaGusQZ4gaUPmSZByHAV7RRGr1FhCW5tFh8",90810.006061566,91707.3212822494,0.00129459054622791,0.0386370618628683,0.0105639139949485,0,414301.8,"CETIN a.s.",0,39610.294572406,"1.14.19",0.992661664463223,0.989395853197412,0.991607869737327,120,1181,30,0.991599836884394,0,"",1,1,7,1,0,0,1,0,0,0,39831,39831
"8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN",161788.479589342,164449.160994273,0.0046110975054513,0.00714298350919315,0.00635731724331349,0,415695.6,"OOO NIIR-RadioNet",0,39751.118556577,"1.14.19",0.97386217535236,0.993618470828998,0.994943851016771,253,618,11,0.991598563977033,0,"",1,1,8,1,0,0,1,0,0,0,39831,39831
"CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc",341513.753990088,345193.004096041,0.0046110975054513,0.0183616212394144,0.0183616212394144,0,415396.7,"OOO NIIR-RadioNet",0,39801.097595558,"1.14.19",0.97386217535236,0.981568448280688,0.994228450812706,253,1684,20,0.990121331316344,0,"",1,1,9,1,0,0,1,0,0,0,39771,39771
"voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd",636775.68869392,661768.299219897,0.0121715675193092,0.0197747358530268,0.0197747358530268,0,415941.3,"RELIABLESITE",1000000000000,39745.101986637,"1.14.17",0.931005948772389,0.980149951801183,0.995531920036974,443,1764,10,0.9844216192089,0,"",1,1,10,1,0,0,1,0.0000233380132231847,30,0,39543,39573
