vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,marinade_stake,version,normalized_dc_concentration,normalized_grace_skip_rate,normalized_adjusted_credits,rank_dc_concentration,rank_grace_skip_rate,rank_adjusted_credits,score,blacklisted,ui_hints,eligible_stake_algo,eligible_stake_msol,rank,in_algo_stake_set,msol_votes,vemnde_votes,msol_power,eligible_stake_vemnde,vemnde_power,target_stake_vemnde,target_stake_msol,target_stake_algo,target_stake
DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a,6135236.03543114,6166770.92983965,0.0176474271131011,0.00757320304408791,0.00757320304408791,8,374660.248,UNITAS,561770.121874372,1.17.20,0.881848597817638,0.987323004937592,0.89162171713578,498,933,329,0.89747979784082,0,"",1,1,296,0,431903.740029227,689145.340591811,0.353632705195544,1,0.0784128423882671,97651,440393,0,538044
mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR,829427.287865749,971349.486008272,0.0189974585171754,0.0150193617045873,0.0150193617045873,7,378866.748,Latitude.sh LTDA,438158.749623358,1.17.20,0.872809993926016,0.974858672999899,0.901632404880618,593,1477,307,0.902830977666008,0,"",1,1,248,0,265537.195569662,2218457.5134446,0.217415369247586,1,0.100000012538652,124534,270756,0,395290
StepeLdhJ2znRjHcZdjwMWsC4nTRURNKQY8Nca82LJp,724338.369477209,729671.302362829,0.149362824199607,0.0110761449209582,0.0110761449209582,7,378864.516,LATITUDE-SH,360854.948712668,1.17.20,0,0.981459333170379,0.901627093135688,1691,1263,308,0.769056174194405,0,NOT_ELIGIBLE_VEMNDE_STAKE_SCORE_TOO_LOW,1,1,1462,0,351892.497015661,402446.930254422,0.288120785861373,0,0,0,358809,0,358809
2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,465186.271836296,472968.391223424,0.00546416605129403,0.0422123918624533,0.0422123918624533,10,354507.21,HVC-AS,232408.785798384,1.17.20,0.963416826907398,0.929339504025248,0.84366123442382,312,1728,1438,0.868675807852173,0,"",1,1,617,0,69367.495565516,1652072.40024908,0.0567960469486259,1,0.100000012538652,124534,70730,0,195264
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,400665.570502093,404298.37557492,0.0154899694084002,0.00746594338853088,0.00746594338853088,4,402030.816,Latitude.sh LTDA,171813.50631262,1.17.20,0.896293006700921,0.987502549856166,0.956758579051116,484,918,75,0.949821104136089,0,"",1,1,52,1,86.533484013,2602520.44823634,0.0000712335272468242,1,0.100000012538652,124534,89,37214,161837
CogentC52e7kktFfWHwsqSmr8LiS1yAtfqhHcftCPcBJ,1851130.87670444,1936092.01675257,0.0154899694084002,0.0116318087623864,0.0116318087623864,5,399259.255,Latitude.sh LTDA,155514.207103322,1.17.20,0.896293006700921,0.98052919202229,0.950162779280101,484,1292,82,0.944210999863473,0,"",1,1,77,1,579.470468112,758284.941728576,0.000474071405470244,1,0.0862798016067614,107448,590,36994,145032
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,521507.188263927,529318.169049722,0.00482849637932197,0.0138835811152531,0.0138835811152531,5,385864.54,TIER-NET,146880.412484417,1.17.20,0.967672702995565,0.976759887695867,0.918285848507226,255,1426,257,0.930381829135327,0,"",1,1,157,0,2554.447239689,3018046.96076649,0.00209115435159068,1,0.100000012538652,124534,2604,0,127138
GNZ1PAAS33davY4Q1BMEpZEpVBtRtGvSpcTH5wYVkkVt,397624.361596367,408281.971051399,0.0154899694084002,0.00663506986444499,0.00663506986444499,4,391030.176,Latitude.sh LTDA,123308.348726741,1.17.20,0.896293006700921,0.988893372141136,0.930579101567845,484,818,163,0.929790030863187,0,"",1,1,159,0,282.21141005,1131113.47270522,0.00023089488142074,1,0.100000012538652,124534,288,0,124822
Ehdn9LdjTAURQSMoDPERXLehtvzy7QD762wwPkzGT7RS,308581.898490792,315935.133956568,0.0176474271131011,0.00633509236007613,0.00633509236007613,5,386883.89,UNITAS,130272.581453383,1.17.20,0.881848597817638,0.989395512823167,0.920711711945405,498,782,236,0.920016140608653,0,"",1,1,182,0,102.626396768,9788337.82717198,0.0000843339460508378,1,0.100000012538652,124534,105,0,124639
EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72,1260889.9376146,1321100.75490287,0.0310148212111931,0.00589187878812455,0.00589187878812455,5,386937.375,AS-CHOOPA,118051.012181452,1.17.20,0.792352472059947,0.990137420339777,0.920838996299151,630,704,231,0.906402486727014,0,"",1,1,229,0,48312.073102134,463515.821877668,0.0395567145787192,1,0.0527401614735959,65679,49262,0,114941
1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm,217478.763133519,225055.075350769,0.00434802991439837,0.00870548618076587,0.00870548618076587,5,386898.52,Hostkey B.v.,122921.140477707,1.17.20,0.970889477099149,0.985427644724832,0.92074652862476,246,1060,234,0.933436298859287,0,"",1,1,149,0,234.000858612,759786.591265198,0.0001915936250087,1,0.0864507034330035,107661,239,0,107900
8D8XL6ovqx15RKwC1XtFyTz6H8JYF2fUsxTnsY4b123P,226510.357039468,233670.416143485,0.00515613223836186,0.0225338010066335,0.0225338010066335,2,399170.562,TIER-NET,44188.798701722,1.17.20,0.965479146059321,0.962280044198553,0.949951706433756,292,1675,84,0.953288876973443,0,"",1,1,42,1,229.376040167,40100.783870898,0.000187499744132445,1,0.00456281544897339,5682,234,37350,43266
voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,1041754.24846008,1069009.95705619,0.0087865425207808,0.00937590396027809,0.00937590396027809,0,420200.9,RELIABLESITE,48673.155589069,1.17.20,0.941173162948241,0.984305413770354,1,442,1121,1,0.989742441512833,0,"",1,1,2,1,723.217312442,4456.917839604,0.000591975174706366,1,0.000507104880849997,632,737,38778,40147
FMKT6kHBkmPf3LjZV5tpo3oR4m32rF8nF8JtC3WWcWoN,11038.081428817,30574.2028636804,0.00252221917305242,0.0314484126984127,0.00709032187564135,0,406241.2,PERFECT-INTERNATIONAL,39540.469333769,1.17.20,0.983113474276024,0.988131313146482,0.966778509993672,171,873,45,0.970934104741173,0,"",1,1,10,1,1.302112639,9371.909052311,0.000000818776175250853,1,0.00106637055386193,1328,1,38041,39370
8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN,349121.339234674,365338.336138982,0.00344947549055486,0.0106203092964755,0.0106203092964755,0,407355.4,OOO NIIR-RadioNet,44726.982155298,1.17.20,0.976905394571644,0.982222369091534,0.96943009879322,201,1224,30,0.971564165089771,0,"",1,1,9,1,1104.995844927,124.099633341,0.000904747673652192,1,0.0000141268812105249,18,1127,38066,39211
oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe,161752.766918849,184000.175933982,0.00344661193912437,0.0251941789821816,0.0224952291827145,0,418169.5,Edgevana,141.059212382,1.17.20,0.976924566353149,0.962344610646663,0.995165645766108,200,1673,5,0.989834630847234,0,"",1,1,1,1,319.531844327,230.321283299,0.000262008376080273,1,0.0000261639870940491,33,326,38781,39140
DHnoGrcm2oecMuWpyYjwxzYoEW3vJdivGtV4favEp3R4,84199.389029083,102713.054016983,0.0042200663406656,0.0377632851019948,0.0169016398060568,4,398297.766,JSC ER-Telecom Holding,4.510810904,1.17.20,0.971746206840425,0.971707875370482,0.947874614261892,228,1557,92,0.953380494743866,0,"",1,1,41,1,1.710212553,10097.568,0.00000163755235050171,1,0.00114900027029154,1431,2,37353,38786
5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,215144.183759005,247564.61076792,0.00107072482562064,0.0158871263244008,0.0148528247339509,5,392766.488,UK Dedicated Servers Limited,0,1.17.20,0.992831383368932,0.975137443863717,0.934711201237313,110,1470,140,0.946762478690362,0,"",1,1,63,1,171.796122467,10000,0.000140829502143147,1,0.00113784087004536,1417,175,37094,38686
5iJDEVRi1nMLwKAWhYbEokZnvBAe15rgFaHGkggVEP9z,82668.696447198,103760.015784334,0.000857916462283556,0.00818231332937216,0.00790759549312351,4,390672.48,VNET a.s.,39422.636546224,1.17.20,0.994256158003969,0.986763256123167,0.92972785160622,104,968,174,0.944042622168716,0,"",1,1,78,1,29.864034358,10556.13312373,0.0000245632852575256,1,0.0012010774714404,1496,31,36987,38514
6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP,432311.464134139,468263.60888645,0.00121696722337951,0.00862825710949656,0.00862825710949656,0,407409.2,MWAY,54188.840766489,1.17.20,0.991852274955961,0.985556920613707,0.969558132788388,126,1049,21,0.974218676800731,0,"",1,1,6,1,203.334846849,272.476989758,0.000166211563575923,1,0.0000309286748396108,39,207,38170,38416
CrLn7zEBytbmRBUGhkDyyUbGCa6H7bMCnw94Dip8QbcJ,106300.655136744,115585.870482391,0.000490057741112301,0.0193656948212275,0.014514157021245,0,407424.2,JSC Ufanet,2.512995939,1.17.20,0.996719011281834,0.975704349160825,0.969593829998936,81,1454,14,0.974236974747219,0,"",1,1,5,1,154.918308462,0,0.000126910307163882,1,0,0,158,38170,38328
9w3YAf77BSGLQXahTpwAe9U9mNdCXkqmxH17uCyN1wyH,78396.366378799,89923.2485392647,0.000286180818242905,0.0101722351722352,0.00653053979519087,0,407427.3,Adworlds Technologies Lp,0,1.17.20,0.998083988972648,0.989068347929332,0.969601207422449,41,804,13,0.975480646161471,0,"",1,1,3,1,0,0,0,1,0,0,0,38219,38219
A7uqmajxP3NdzbYDXiGQRGTL8d3dZ5pjS4kR9NTZcxtg,71062.210557571,78017.2480371899,0.00020251994211962,0.00701058201058201,0.00701058201058201,0,407412.1,Clouvider Limited,0,1.17.20,0.998644107439687,0.988264791922866,0.969565034249094,29,861,20,0.97547718071486,0,"",1,1,4,1,0,0,0,1,0,0,0,38219,38219
MNDE6ueF5uMvyk3ohq7wWZ8H749pbpj1yHj2MvMRCJM,133845.594101766,147409.858732967,0.000578360235759083,0.026626448539381,0.0184914627600497,0,407367.2,H4Y-TECHNOLOGIES,31.741365716,1.17.20,0.996127816684919,0.96904662654082,0.969458180598852,90,1598,29,0.973529543530706,0,"",1,1,7,1,29.060590947,6.539860064,0.0000237445090822747,1,0.000000794114624260277,1,30,38143,38174
AnoFcEWKt7j9UuyvuNsJDbaRPrfo5LqpjvbxqQPswxn4,12114.03757783,18744.1180446615,0.00252221917305242,0.05,0.00419603737002373,0,406482,PERFECT-INTERNATIONAL,0,1.17.20,0.983113474276024,0.992976136423149,0.967351569213679,171,487,44,0.971747598239383,0,"",1,1,8,1,0,0,0,1,0,0,0,38073,38073
5WPxGiB6zBXNJp8JN3WhSKDuTY3ZBX6dBDcbtVMQAJLX,202964.005045904,231284.137904427,0.00402779489661404,0.016106492043992,0.0119691960806824,0,407402,OOO NIIR-RadioNet,43179.962425276,1.17.20,0.973033484615748,0.979964430012971,0.969540998127324,225,1319,25,0.97088010619367,0,"",1,1,11,1,1.890886317,0,0.00000163755235050171,1,0,0,2,38039,38041
CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,543076.279229567,564031.109558414,0.00402779489661404,0.0149173906692234,0.0149173906692234,0,407405.8,OOO NIIR-RadioNet,43719.471840233,1.17.20,0.973033484615748,0.975029365150142,0.969550041420663,225,1472,22,0.970507442199098,0,"",1,1,12,1,5.642274839,67.904169625,0.00000491265705150512,1,0.0000077321687099027,10,6,38024,38040
6SmEcnuXJ3ZYqJWTqCoPQMhfvey6PfWb1LebLzoH3f7m,169235.258553148,181317.276028939,0.00546416605129403,0.0192356207304188,0.0123662852069686,3,401261.692,HVC-AS,7297.104954212,1.17.20,0.963416826907398,0.979299731487927,0.954928206960052,312,1340,77,0.958108881146403,0,"",1,1,33,1,478.733985651,28.48522844,0.000392193787945158,1,0.00000317645849704111,4,488,37538,38030
8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,70722.754049598,74018.8001626038,0.00419337160020469,0.023660687138948,0.0110762275148649,0,407207.4,OOO NIIR-RadioNet,0,1.17.20,0.971924930968092,0.981459194914143,0.969077886315807,227,1264,34,0.970468301539108,0,"",1,1,13,1,0,0,0,1,0,0,0,38023,38023
HcbE5huUVDgsf7SURsRfQqnFMp3Zz3i49eXMddugPyAP,202325.017728316,208395.581102657,0.00166582161943224,0.0164428332771747,0.0164428332771747,4,405667.292,Cosmonova LLC,37930.360176899,1.17.20,0.988847147016944,0.972475884371083,0.965412715679571,150,1536,52,0.969561333476976,0,"",1,1,14,1,0,0,0,1,0,0,0,37987,37987
39xF5qkfK5HBaG4Hkq6bjumUB2k4B5ozEAmfZoobhUVw,70682.793848926,88359.3981571436,0.00497057965922621,0.00587121212121212,0.00372336280873766,0,406215.1,HOSTING-SOLUTIONS,0,1.17.20,0.966721440319155,0.993767359508634,0.966716396847317,256,461,46,0.968798016047701,0,"",1,1,15,1,0.748016589,2.911494667,0.000000818776175250853,1,0.000000334364052320117,0,1,37957,37958
