"vote_account","minimum_stake","avg_stake","avg_dc_concentration","avg_skip_rate","avg_grace_skip_rate","max_commission","avg_adjusted_credits","dc_aso","marinade_stake","version","normalized_dc_concentration","normalized_grace_skip_rate","normalized_adjusted_credits","rank_dc_concentration","rank_grace_skip_rate","rank_adjusted_credits","score","blacklisted","ui_hints","eligible_stake_algo","eligible_stake_msol","rank","in_algo_stake_set","msol_votes","vemnde_votes","msol_power","eligible_stake_vemnde","vemnde_power","target_stake_vemnde","target_stake_msol","target_stake_algo","target_stake"
"oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe",167215.681748524,198067.420036904,0.00348395303903728,0.0199050633359231,0.0191325251460241,0,419854.5,"Edgevana",43297.104531192,"1.17.20",0.976816848949474,0.96231773202349,0.995082116799134,198,1689,5,0.989751738301059,0,"",1,1,1,1,372.783049077,286.800349029,0.000290236686850955,1,0.0000317269137793474,16,357,47059,47432
"voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd",1051562.73878106,1080138.30287839,0.00891308329957879,0.00813681482808287,0.00813681482808287,0,421929.5,"RELIABLESITE",48759.061180219,"1.17.21",0.940682474765645,0.983974220104931,1,452,1179,1,0.989641474587402,0,"",1,1,2,1,597.302238837,4437.677047973,0.00046453432184992,1,0.00049078898795398,242,572,47054,47868
"A7uqmajxP3NdzbYDXiGQRGTL8d3dZ5pjS4kR9NTZcxtg",71062.210557571,86966.9671889829,0.000226172302426335,0.0078042328042328,0.0062667885833662,0,410766.4,"Clouvider Limited",37956.995346027,"1.17.20",0.998499487327325,0.987657311047642,0.973542736405015,32,933,19,0.978467973057881,0,"",1,1,3,1,2.112416835,0,0.00000155622888391933,1,0,0,2,46523,46525
"9w3YAf77BSGLQXahTpwAe9U9mNdCXkqmxH17uCyN1wyH",87809.530215722,94900.7881204498,0.000298757677541143,0.0101722351722352,0.00653053979519087,0,410512.3,"Adworlds Technologies Lp",0,"1.17.20",0.998016384697842,0.987137842563098,0.972940503093526,42,990,38,0.977890434068773,0,"",1,1,4,1,0.433454531,0,0,1,0,0,0,46495,46495
"CrLn7zEBytbmRBUGhkDyyUbGCa6H7bMCnw94Dip8QbcJ",109205.520583012,127361.810045841,0.000524774606760096,0.0143798671326472,0.0103752052422856,0,410775.6,"JSC Ufanet",42444.506847679,"1.17.21",0.996512095815397,0.97956562130366,0.973564540995593,80,1409,11,0.977556555606952,0,"",1,1,5,1,164.563494131,0,0.000128388882923345,1,0,0,158,46479,46637
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",434038.83107567,474899.692920219,0.00123599725703913,0.00601387839585278,0.00601387839585278,0,410768.1,"MWAY",54278.963963933,"1.17.20",0.991778448962239,0.988155427704337,0.973546765514144,127,901,18,0.977475383136173,0,"",1,1,6,1,201.41467659,238.602023531,0.000156401002833893,1,0.0000264107418994299,13,193,46476,46682
"MNDE6ueF5uMvyk3ohq7wWZ8H749pbpj1yHj2MvMRCJM",143436.700916479,150744.62132291,0.000628177985481995,0.0276403804279259,0.0172192474647361,0,410728.7,"H4Y-TECHNOLOGIES",31.769638937,"1.17.20",0.995823879434633,0.966086008387928,0.973453384984932,88,1664,25,0.976328278238963,0,"",1,1,7,1,25.132247583,6.539860064,0.0000194528610489916,1,0.000000765528750708114,0,24,46421,46445
"AnoFcEWKt7j9UuyvuNsJDbaRPrfo5LqpjvbxqQPswxn4",13267.13193119,23193.699834735,0.00267635954764555,0,0,0,409833.6,"PERFECT-INTERNATIONAL",0,"1.17.20",0.982191906096005,1,0.971331940525609,170,1,46,0.9752079398037,0,"",1,1,8,1,0,0,0,1,0,0,0,46368,46368
"5WPxGiB6zBXNJp8JN3WhSKDuTY3ZBX6dBDcbtVMQAJLX",217348.848228603,239029.963860754,0.00374489834305941,0.00682350040250983,0.00682350040250983,0,410764.1,"OOO NIIR-RadioNet",43218.422972595,"1.17.20",0.97508008913629,0.986560845014301,0.973537285257371,200,1033,21,0.974776451989276,0,"",1,1,9,1,1.890889626,0,0.00000155622888391933,1,0,0,2,46347,46349
"8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN",353535.543395394,369009.012842804,0.00374489834305941,0.0104103645213133,0.0104103645213133,0,410731.1,"OOO NIIR-RadioNet",44766.816257079,"1.17.20",0.97508008913629,0.979496373707534,0.973459073138996,200,1413,24,0.974172867951544,0,"",1,1,10,1,1105.126926456,124.099633341,0.000859816458365431,1,0.0000136944587626674,7,1059,46319,47385
