vote_account,minimum_stake,avg_stake,avg_dc_concentration,avg_skip_rate,avg_grace_skip_rate,max_commission,avg_adjusted_credits,dc_aso,marinade_stake,version
8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW,3549179.108565017,3551389.8402284486,0.058082858204378876,0.01752939705537986,0.01752939705537986,0,422169.9,PACKET,0.0,1.17.20
voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd,1051941.875969322,1082950.4466451171,0.008959424641836328,0.009687429814326598,0.009687429814326598,0,421960.6,RELIABLESITE,49009.948543077,1.17.21
SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV,1185628.55725575,1209244.3164662926,0.14011311917994318,0.006211993736899968,0.006211993736899968,0,421680.6,TERASWITCH,0.0,1.17.21
QUANT7qKUEW4PS4eP9jq4K35rDHpgWkWcgjbW1CwnGJ,33433.324694163,42366.9477671112,0.06846975893819897,0.021393557422969188,0.005168942519815363,0,421230.6,HostCircle B.V.,0.0,1.17.20
oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe,177061.550664113,206228.4317952852,0.0005368409982537647,0.016843838846127168,0.016071300656228187,0,420326.4,Edgevana,43552.578695565,1.17.20
59k9CiZ7L1bpEivLrAtaMPMgw18syZ4RQsJUo3hbbj8x,46889.784079953,47748.222973985,0.14011311917994318,0.057499999999999996,0.006292333397907216,0,420146.4,TERASWITCH,10.894683872,1.17.20
8B2Z2R8dRvqFcXuLBwinu3Jq7HQidCaJCnDuRRqeJLC1,71472.995763222,73016.4575219136,0.14011311917994318,0.03856997563982858,0.013526383886035326,0,419852.1,TERASWITCH,107.971697424,1.17.20
DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5,932140.313493497,941706.0454718173,0.1525498330981708,0.03073604488278383,0.03073604488278383,0,419428.2,LATITUDE-SH,1748.977983866,1.17.20
HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH,3433334.920324121,3519819.5519048558,0.03218235624556671,0.024583724009389473,0.024583724009389473,0,418341.4,AS-CHOOPA,25.123265644,1.17.21
TahoeLA91rRRqaWWBft1KvWLEjv87Zqe2qaDqSG69fm,149709.428353482,164072.4031366689,0.039645695187345016,0.015277777777777779,0.0051323213480837775,0,414034.4,HURRICANE,38919.905902941,1.17.20
8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,70817.353340093,87070.719066714,0.00402705734156951,0.012692307692307692,0.004607462872113939,0,411802.3,OOO NIIR-RadioNet,0.0,1.17.20
EXrWdDxFaE3Sfsbh3TV5ToGhMqu53xrmeoVdvn467jUH,525336.237066506,527829.9424674137,0.03218235624556671,0.00570711100432425,0.00570711100432425,0,411798.0,AS-CHOOPA,5.871425277,1.17.21
FJ7sKbuXR28w4K5EChBbi9tXYfCfrdpF4EaKnRvLPzL8,12297.964187485,50442.0051471242,0.05652343044994192,0.0,0.0,0,411796.8,AS-CHOOPA,0.0,1.17.21
Rash24BXgUyy65JJ5KBzpYLrj3pyCqEMEixLVimTcDp,171339.638431142,174899.6778402637,0.03218235624556671,0.005703282828282819,0.00542856499203417,0,411796.7,AS-CHOOPA,3.749480798,1.17.22
CrLn7zEBytbmRBUGhkDyyUbGCa6H7bMCnw94Dip8QbcJ,114706.40550002,133216.5844544278,0.0005415605425519047,0.013487009989790055,0.009482348099428417,0,411793.2,JSC Ufanet,42685.060375799,1.17.21
P4f3F3VfMhKvpGQXg2MuvLfWmZui41gvcH9XKtYDiFX,41672.473523402,72750.021635978,0.0019892297925867297,0.12645512820512822,0.009209954495392667,0,411792.0,Amarutu Technology Ltd,0.0,1.17.20
D4mLBafAJjpRABT5Tyj6UhuwJ8DLRk74JzyuTMUdU9Fz,230511.61694294,239932.3445750063,0.1525498330981708,0.007100401205781037,0.007100401205781037,0,411791.7,LATITUDE-SH,391.073423708,1.17.20
5WPxGiB6zBXNJp8JN3WhSKDuTY3ZBX6dBDcbtVMQAJLX,232037.863585537,241885.2679261379,0.0037836694559595825,0.008421511766146195,0.008421511766146195,0,411790.5,OOO NIIR-RadioNet,43237.898721612,1.17.20
CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,545945.226264714,574259.7478238951,0.0037836694559595825,0.014965282007106905,0.014965282007106905,0,411789.3,OOO NIIR-RadioNet,43819.203400772,1.17.21
We11J5D4iXcNbdMwCZX2o9RRkwaWBo1AGLADfubmeTb,204243.219532518,208842.5097072806,0.03218235624556671,0.002827248983436159,0.002827248983436159,0,411776.1,AS-CHOOPA,24954.339517706,1.17.20
A7uqmajxP3NdzbYDXiGQRGTL8d3dZ5pjS4kR9NTZcxtg,71062.210557571,95691.2651322954,0.0002491351741806918,0.00854828042328042,0.006265438447963091,0,411775.6,Clouvider Limited,42592.784538351,1.17.20
CV7uvPY1Hk5Avb2NvkGJoUzGnipZrEZK27j5rQJoUae9,177213.199157827,181677.255242881,0.04143309435959611,0.011717105948696882,0.011717105948696882,0,411775.0,TIER-NET,24580.666625834,1.17.20
6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP,434367.786070149,478236.9226512778,0.00124552717983388,0.007116819572323374,0.007116819572323374,0,411768.4,ASN-FLEXENTIAL,54303.419002418,1.17.21
8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN,366115.599823816,370461.6586557202,0.0037836694559595825,0.008650855686332814,0.008650855686332814,0,411764.0,OOO NIIR-RadioNet,44786.985465195,1.17.20
MNDE6ueF5uMvyk3ohq7wWZ8H749pbpj1yHj2MvMRCJM,146914.352962187,151831.7802537603,0.0006320719594205712,0.025954584158198523,0.016469667383696655,0,411754.8,H4Y-TECHNOLOGIES,50.294192056,1.17.22
GwjRJdT9nKmegq6a8nyvEPfoQZUSPp6N4KmWAUMo76aU,200524.330393966,204697.7760103811,0.03218235624556671,0.0027733313497346978,0.0027733313497346978,0,411743.4,AS-CHOOPA,39026.501234911,1.17.20
NipDoZC37aMQvv2fFq2moUyyiApQxszc7X4mvWHP2pZ,131889.829615634,135156.2989847054,0.008330987629548946,0.012434128371628373,0.00909944490289193,0,411729.2,MEVSPACE sp. z o.o.,0.0,1.17.20
2PEyBgsPYBQ8pMdXQtEaPGNqWQHE9GCnmV2tTVN4GMru,769036.031787134,798866.9988122883,0.08963815025720744,0.005697114182582985,0.005697114182582985,0,411724.8,OVH SAS,623.045076001,1.17.21
F5b1wSUtpaYDnpjLQonCZC7iyFvizLcNqTactZbwSEXK,2891712.674866032,2942904.398470441,0.08963815025720744,0.003808602902751412,0.003808602902751412,0,411721.9,OVH SAS,17295.883210221,1.17.21
