vote_account,vemnde_votes
1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm,1035350.266198009
26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx,0
2DpnT6to3eJsXeg1Tk42XFCXLMKL7pGzMKFwQS5CNK6a,0
2PXahCdEhHwy2D4Q1cYx7LgyQR3HMV9zPqMUfuBszRLM,0
2ZuVhyBsUbTh27LBCQH3BkenjPp86gUZiNBKmhPsTRpT,23864
2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,1652072.400249079
2bm3fmyLq12943jC1UePUcvFho7y1bUik8PisvsRc2yq,1.005142668
2g2QU1NDRax6i2mKzRwgRfdBFoDkMC6bj7Zp5Q3i8sCq,1067.279199831
2het6nBRLq9LLZER8fqUEk7j5pbLxq2mVGqSse2nS3tf,0
2iWXwF2Q5W6o7yntV2mkbxncB4rYHnX61y3NU8a8EFMJ,155.486793783
2tucttroqFNXsrYeMBQ8LfzKNfgwT2rHBzAF6RzbbHEp,0
34yvUa2fxfm2tUqxFEj9PHrVNwCcdzd51eo9hntWpZRs,1.732969143
39xF5qkfK5HBaG4Hkq6bjumUB2k4B5ozEAmfZoobhUVw,2.911494667
3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g,6.844868665
3Xn3K5zeTzs4sURj1PCRaF6rvFg2hPgT49B4SiM998f7,773.350065691
3dXXxEaV4fZqw1PL7VezfDkiJV5W4WTtRjh2EHgKSthF,0
3xjfK9C9YNcta8MvK1US4sQ3bc6DEjoJoR3qLExGf9xE,1241.646176697
3zEbnWKibg574DaGC1EA3zLNwBK6MGQxEySUgQWKBaYV,0
3zxkHtntSzfW2rukRFqhN9SDPzqicvF6WwN6yDwdSvxQ,0
4BVYjw1ztUzUPsxsaCheWWwThT2X4rjogZytGnuWPUGg,0
4FsAxdHQ6HmFrDD7yCwsKNApuA67QYSCMoLAy3NfySxJ,27.964020879
4GN2gRpWbtx7REhN7gS9AsEkZy8QmA5xv4eTGiGafGuF,0
4K4qpgksvHbKnk8mpMNncHxihMN1ayidQ8odqJKaN7mH,0
4PTVcstjs4s89uETGapnjTNPDa4XfHF9kLUu8WCeYNQb,0
4TZfczJQWHQm7HaEP1DsSHLC7EexkWeFQFYicnemcnMb,0
4ZCnzKSLNUrJnLqPGYvD2DWgZuoFrs419tEk1J1VZyNw,0
4jJQwaucKKmwqtaYB7rZMMAmWnKuGvd4VWzw3La5Y7pQ,4.910981122
4qvFxnUXYjBdcviCwVV7gKcGJMCENEBfS82hSLJUhyvu,10.477431187999999
4tuMshQNpAFpy1YtEHnSsE5EPN1mAT8FevWvn2UPJHNM,0
54LAJpkmdovUQPRqE4pyDXHRfHpVJqT5MjwEmAEVBboY,0
55gncCYVFXYZhjD5a3aemVVtiHaVwfzu2R4axgamGLwV,0
5AC692spnjbegP7ttCXJEzUe8S81sLYsqJd8Ae6Zv1xU,10268.014454366
5DiDp2gFM8eX9LV1yxkZAkw6f4v6ChMG8Kq9uYHiLf9T,0
5EYp3kCdMLq52vzZ4ucsVyYaaxQe5MKTquxahjXpcShS,0
5HScvYkTWL9iojhPv26xK7GqB7oBsj9A2qHCeNRFmdyG,0
5WPxGiB6zBXNJp8JN3WhSKDuTY3ZBX6dBDcbtVMQAJLX,0
5XGMWvqZSBk1fktPtxbwaMF5dhkbrtchpwd4xiXG9q8u,0
5iJDEVRi1nMLwKAWhYbEokZnvBAe15rgFaHGkggVEP9z,10556.13312373
5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM,100
5jfGwxqrdtXkz6qYb78qHx1vsU3CjzHvQizjnFmXPF1D,0
5mSBnz3zNSVzXQHxBmrTLESynukH2JHVcCN14GHtVsWD,0
5nH6sYJNSa71DCBQHgRCsX1dh5W1bWrUPeYieo9xyZ7f,162.821385368
5tq4wWgnwRiJVU6nakZrBCZJ63pMEZJxmVrL2WnZ6yQv,0
5wYHvcKbCHPsT9dhEZaVZzoVY1qA7bosKRzKczpcaXpq,0
644K33yWfSzc32VvY5fRUfUqphw8LTaLQntCkyEpJ8h7,1011
6559KMdiUseNSAkRcK9WcFcNTppoj6jWtKVedpMkBYCn,15.126663665
6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ,273.232517054
6JfBwvcz5QUKQJ37BMKTLrf968DDJBtwoZLw19aHwFtQ,33.738572407
6SmEcnuXJ3ZYqJWTqCoPQMhfvey6PfWb1LebLzoH3f7m,28.48522844
6anBvYWGwkkZPAaPF6BmzF6LUPfP2HFVhQUAWckKH9LZ,615.684961028
6gNdKvKUXLsmGnhYHAa6BRtcirMEM6orhZfikoFVXen9,0
6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP,403.57806740999996
6ztDG1XRZiuXtoCotN51kUPtdHXwRAgRiVEbbUfoQ6CK,0
73ckp5sRXUBqfEibK2TdCeArUpdFyw4mvq6QtTjMfuZD,391.828377335
76DafWkJ6pGK2hoD41HjrM4xTBhfKqrDYDazv13n5ir1,97.265056692
76nwV8zz8tLz97SBRXH6uwHvgHXtqJDLQfF66jZhQ857,7.992842012
77hUX7gpQov27qQTBDyJKJXNwm7apatfhEdsStC3YUb8,0
78oKabsmtwWk6ErK2qgyirbeqS8PzqCFZjvYATWpNJkk,0
7DrGM5rSgw8iCnXNxgjfmy4GFy6PuKu3gsujT5TjcDaA,0
7Eg46UwGgsufXdd9C9kF27UAyD2t4VdmCdVTtPFoqxCy,182.168220099
7GLsg47ChRfrLNTouzzkZGJUFe7BvuSLd4UGPAowBxhr,1000
7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh,14459927.050039511
7PmWxxiTneGteGxEYvzj5pGDVMQ4nuN9DfUypEXmaA8o,1.675979774
7bshVP74UGL7gn6CTEztizxKsZrcmwPmB4rT1tVbU3vH,0
7mLJVHGC2remjBy65CU69fucgCqb6ZXYhYqNbdKEtpPN,0
7tr5vUb3j36k4p9bs2tr1GwRFoSsEWd4LEut8e8HJZEv,5.401858923
81LF3sFyx9aANNhZPTyPEULKHV1mTqd3qho7ZLQghNJL,0
83c5NZebvsUQsL3e9xb37nHiYchLCudDYtQ5Z3gLnLxv,0
8ACcAUtFEEYRYGJ5CPPBco8NvbwhjZKsgv7Fma64QDPM,0
8D8XL6ovqx15RKwC1XtFyTz6H8JYF2fUsxTnsY4b123P,40100.783870898
8EfUy8zz6DF2iTMQCUe4QAnoq4jVUzfU1yvZMCr2yJ7m,50
8F4e1nbeC6hn9jkojtboERZGaafxUUtsqUy3MKJLohkh,0
8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN,124.09963334100001
8LFBopVbvVJ4RqDaheie99P5jK7jrSm99t2F77jBwdFc,0
8Tz3KbpHjUPxFHwyvWrdoQ5K464NZb6trntqNS5qW875,0
8WVqaMTGPKsVSFBBPgm1vHRvSzTZYhJStQhUva1jtg78,0
8d25KBXdovroNVbjRmvDeW7H3QMW2nfZZo7G9zQ693ki,0
8gjfs4krwDrME3n7jzKshMBhejFPHE6pTrhm2LcKGSPd,605.260255187
8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,67.575342626
8inoRcYLtHdDL1qHWvGph7pkJKuJdrE2kNkFpjcYaYHf,0
8jxSHbS4qAnh5yueFp4D9ABXubKqMwXqF3HtdzQGuphp,0
8oGhRavfRf13fBdp257nitq8VVgXhRAZxR9fR5Q4oKhH,0
8vT4MgBeZQmYN44DXwHd2BLM7Z6io186nJk3FQEwy58f,0
8vyuJTHSDkx7k1zymea4TMsgvixf3rCYBXHPDQajePkE,30.731092691
8xihirHNzLTCGtEyRTH77q7WzAWE8yxtD1ciQJ5j3HQX,0
9CQ57sDtz1avnPiLVrDYJ5LD29mTX6eXo9YMuKT7hBYW,0
9GJmEHGom9eWo4np4L5vC6b6ri1Df2xN8KFoWixvD1Bs,0
9Gko8QZBbV5SrEvHKtQHcMrGGSfgFP3KJUozEGifu25x,1253.73126047
9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF,0
9RykQjmjgDZ64o7zf76uUcbr2ai146wcwku4pUSztyLL,0
9V3mbi8z9MHicFQN9n9CGEMfuX4yKaBjJNuzyTUxaWXi,0
9jJNuZE4EHTrz8xiTzmDGjJnCn5dGmruCyUwG1vgdHZR,0
9jYFwBfbjYmvasFbJyES9apLJDTkwtbgSDRWanHEvcRw,0
9w3YAf77BSGLQXahTpwAe9U9mNdCXkqmxH17uCyN1wyH,0
9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,2744391.69809043
9xSvmMmFmG9atApxNDH5MY3pxKdicMKAGf7dNrwbTV1q,0
A2MtELFxn9wAiUrobrZ6vsypQtGHdH3ZesEnvAogvuFZ,0
A7uqmajxP3NdzbYDXiGQRGTL8d3dZ5pjS4kR9NTZcxtg,932321.263650581
A9igcq5tcmPjg8gy3soDnrmCMwXT3pmeFx3oojFjTfwc,94.493501589
ACE2rAgt842mfSjaB4YYzxony4F2AogTPDNCYtCoRh2Q,0
AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t,11
ASfKFAKz6fH4eip1jdLGt5Ym954kU9KYnwq2Csn9ogSz,0
AXA7ztxJGz77RHmocYQ6MEbPYHbpc3TmhtQqZGrdzqo1,10540.78393459
Ac8zL56RqrEwZcJa2HL7ZVCBW8py1ehVYj5qmfJXcdFQ,0
AnoFcEWKt7j9UuyvuNsJDbaRPrfo5LqpjvbxqQPswxn4,1.505856077
AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA,0
Azc2uttGtHsRLorfQzd7tsMNtfaEg7LyvVEMVtckPCNN,50
B1w6SZcyvjyp6zEyStcc8u9AxXAh2AbYvNzMmP9rRKE9,36506.900745491
B6nDYYLc2iwYqY3zdmavMmU9GjUL2hf79MkufviM2bXv,42.29664859499999
B9NiU9ZL3Jo2WkZA1X35sSpeyZXxLJpBi7B5Sah7zUQJ,1521.107175946
